index,gene1,gene2,gene3,split,measured_tau,measured_p,M01,M02,M03,pred_mean,pred_worst,rank
29787687,YIL111W,YNL052W,YKL101W,train,0.098271,0.4418,0.33203125,0.3623047,0.0597229,0.25135294,0.0597229,1184
21800258,YLR044C,YGL096W,YPL177C,train,0.137373,0.4692,0.09729004,0.4284668,0.19226074,0.23933919,0.09729004,1346
20929298,YDR503C,YGL096W,YPL177C,val,-0.041239,0.4762,0.4645996,0.056243896,0.1953125,0.23871867,0.056243896,1354
19594223,YKL069W,YML007W,YDR423C,val,0.008283,0.3375,0.25830078,0.20825195,0.1282959,0.19828288,0.1282959,2352
21691388,YKR072C,YGL096W,YPL177C,train,0.172098,0.0496,0.1149292,0.30615234,0.17175293,0.1976115,0.1149292,2379
20983733,YDR530C,YGL096W,YPL177C,train,0.048063,0.2272,0.12988281,0.33032227,0.11425781,0.19148763,0.11425781,2613
31818118,YLR432W,YML056C,YJL187C,train,0.092436,0.3181,0.36376953,0.076293945,0.13012695,0.19006348,0.076293945,2666
21255908,YGR121C,YGL096W,YPL177C,train,0.063286,0.1926,0.08123779,0.32006836,0.10845947,0.16992188,0.08123779,3729
21673243,YKR053C,YGL096W,YPL177C,train,0.087717,0.02908,0.16418457,0.16345215,0.18041992,0.16935222,0.16345215,3766
23399058,YBR001C,YDR001C,YOR123C,train,-0.009398,0.3984,0.23657227,0.079589844,0.18127441,0.16581218,0.079589844,3997
19734990,YLR044C,YML007W,YDR423C,train,0.09887,0.3918,0.124816895,0.19580078,0.16174316,0.16078694,0.124816895,4432
21596340,YKL069W,YDR122W,YLR096W,train,0.095733,0.01918,0.2927246,0.042816162,0.14196777,0.15916951,0.042816162,4570
20711558,YDL095W,YGL096W,YPL177C,train,0.113241,0.1369,0.17675781,0.2175293,0.07836914,0.15755208,0.07836914,4702
18932191,YCR034W,YPL089C,YBR182C,train,0.050229,0.0001905,0.07171631,0.28198242,0.08886719,0.14752197,0.07171631,5699
31168692,YLL012W,YLR020C,YKL185W,train,0.044257,0.2702,0.19592285,0.103027344,0.14282227,0.14725749,0.103027344,5733
31168686,YLL012W,YLR020C,YIL095W,train,-0.002387,0.4138,0.052581787,0.34570312,0.038238525,0.14550781,0.038238525,5938
18979967,YDL100C,YML007W,YDR423C,val,0.061687,0.4871,0.117370605,0.16589355,0.14001465,0.14109294,0.117370605,6492
5887221,YPL053C,YDR483W,YOR123C,train,0.012286,0.1603,0.11260986,0.041625977,0.2208252,0.12502034,0.041625977,9330
21001878,YDR538W,YGL096W,YPL177C,train,0.205302,0.1104,0.08905029,0.24169922,0.030670166,0.12047323,0.030670166,10398
27124634,YEL006W,YIL006W,YJL187C,train,0.052825,0.3789,0.2866211,0.061431885,0.0021533966,0.11673546,0.0021533966,11522
30159964,YJL133W,YKR052C,YOR304W,test,0.056913,0.2754,0.1048584,0.05215454,0.19104004,0.11601766,0.05215454,11738
30159940,YJL133W,YKR052C,YKL185W,val,0.128478,0.3683,0.0927124,0.121520996,0.13330078,0.11584473,0.0927124,11784
31168669,YLL012W,YLR020C,YDR247W,train,0.017605,0.2597,0.10089111,0.13452148,0.104003906,0.11313883,0.10089111,12719
29787663,YIL111W,YNL052W,YDR043C,train,0.242231,0.2484,0.19567871,0.06359863,0.078552246,0.11260986,0.06359863,12890
21927273,YLR308W,YGL096W,YPL177C,train,0.144508,0.004609,0.069885254,0.19250488,0.07122803,0.111206055,0.069885254,13418
23399036,YBR001C,YDR001C,YKL101W,train,0.041629,0.3471,0.04144287,0.18688965,0.09918213,0.10917155,0.04144287,14236
21989500,YML008C,YMR182C,YPL230W,train,0.055364,0.4238,0.23583984,0.04776001,0.041931152,0.10851034,0.041931152,14529
19197516,YER056C,YML007W,YDR423C,train,0.089916,0.4833,0.10058594,0.12805176,0.095825195,0.1081543,0.095825195,14691
30159911,YJL133W,YKR052C,YCR065W,test,0.20602,0.00183,0.035095215,0.24584961,0.03515625,0.10536703,0.035095215,16009
27124660,YEL006W,YIL006W,YOR123C,train,-0.009797,0.003598,0.2290039,0.051879883,0.03390503,0.1049296,0.03390503,16225
22489768,YPR140W,YGL096W,YPL177C,train,0.05844,0.3479,0.021743774,0.09136963,0.19702148,0.103378296,0.021743774,17068
5887199,YPL053C,YDR483W,YKL101W,test,0.025349,0.4161,0.012161255,0.13574219,0.15966797,0.1025238,0.012161255,17556
20300162,YDR513W,YJL187C,YCL035C,train,0.096098,0.3221,0.07336426,0.17785645,0.050567627,0.10059611,0.050567627,18699
19098552,YDR452W,YPL089C,YBR182C,train,-0.001471,0.2476,0.0791626,0.1784668,0.041625977,0.09975179,0.041625977,19230
29787654,YIL111W,YNL052W,YBR082C,train,0.158506,0.3207,0.20861816,0.044311523,0.045410156,0.09944662,0.044311523,19441
30159931,YJL133W,YKR052C,YHR006W,train,0.015949,0.3152,0.049438477,0.1574707,0.08630371,0.09773763,0.049438477,20621
31818110,YLR432W,YML056C,YFL031W,train,0.123985,6.82e-39,0.22155762,0.027893066,0.043304443,0.097585045,0.027893066,20743
20403093,YBR018C,YGL096W,YPL177C,train,0.029803,0.3109,0.099121094,0.049621582,0.14367676,0.097473145,0.049621582,20827
31168693,YLL012W,YLR020C,YKL213C,train,0.052844,0.3421,0.039031982,0.21569824,0.037200928,0.09731039,0.037200928,20945
30159946,YJL133W,YKR052C,YLR183C,train,0.014017,0.2066,0.03036499,0.2446289,0.015686035,0.09689331,0.015686035,21266
29787689,YIL111W,YNL052W,YKL213C,train,-0.048152,0.405,0.18518066,0.045654297,0.0541687,0.09500122,0.045654297,22788
22334255,YOR171C,YMR182C,YPL230W,train,0.031682,0.45,0.14331055,0.06829834,0.0725708,0.09472656,0.06829834,23041
22494759,YPR140W,YJR127C,YML081W,train,0.130569,0.1813,0.066589355,0.10437012,0.112976074,0.09464518,0.066589355,23108
30159944,YJL133W,YKR052C,YLR131C,train,0.038472,0.2876,0.038848877,0.15368652,0.09082031,0.094451904,0.038848877,23288
22507913,YPR167C,YGL096W,YPL177C,train,0.19818,0.001115,0.06124878,0.04385376,0.17810059,0.09440104,0.04385376,23340
31168679,YLL012W,YLR020C,YFL031W,train,-0.009891,0.4673,0.064697266,0.2734375,-0.05545044,0.09422811,-0.05545044,23513
21791335,YLR044C,YBL005W,YGL013C,val,-0.049909,0.2499,0.10217285,0.066467285,0.11071777,0.0931193,0.066467285,24523
23913645,YBR183W,YPL087W,YER111C,test,0.144056,0.07108,0.032714844,0.16699219,0.07458496,0.091430664,0.032714844,26223
30159960,YJL133W,YKR052C,YOR066W,train,-0.023352,0.2662,0.05026245,0.11608887,0.101745605,0.08936564,0.05026245,28535
29787674,YIL111W,YNL052W,YFL021W,train,0.073764,0.3259,0.10827637,0.10845947,0.05126953,0.08933512,0.05126953,28566
24939764,YCR048W,YNR019W,YJL187C,train,-0.0445425,0.11204589840667017,0.0038394928,0.2692871,-0.0057640076,0.089120865,-0.0057640076,28854
21219618,YGR055W,YGL096W,YPL177C,train,0.145174,0.1066,0.15026855,0.060394287,0.05606079,0.088907875,0.05606079,29102
31168683,YLL012W,YLR020C,YHR006W,train,0.013712,0.3627,0.09222412,0.033203125,0.13793945,0.0877889,0.033203125,30470
29787659,YIL111W,YNL052W,YCR065W,train,0.076634,0.4159,0.082336426,0.12792969,0.05239868,0.08755493,0.05239868,30748
21346633,YIL002C,YGL096W,YPL177C,train,0.136571,0.04036,0.26123047,-0.00084114075,-0.002702713,0.08589554,-0.002702713,32995
31557421,YLR174W,YNL009W,YJL187C,train,0.006375,0.2449,0.13806152,0.052124023,0.06616211,0.08544922,0.052124023,33664
20664915,YCR034W,YMR182C,YPL230W,train,-0.068631,0.4116,0.10015869,0.09753418,0.055755615,0.08448283,0.055755615,35180
20483465,YBR042C,YMR182C,YPL230W,train,-0.059192,0.4737,0.08312988,0.1194458,0.050872803,0.08448283,0.050872803,35182
4011891,YJL139C,YKR061W,YOR123C,val,0.053624,0.3708,0.095214844,0.044403076,0.11291504,0.08417765,0.044403076,35653
19952539,YNL071W,YML007W,YDR423C,train,0.019521,0.4421,0.12298584,0.07171631,0.055755615,0.08348592,0.055755615,36824
30159910,YJL133W,YKR052C,YCL033C,train,0.043384,0.3433,0.029083252,0.16821289,0.052246094,0.08318075,0.029083252,37374
31168700,YLL012W,YLR020C,YLR367W,train,-0.113769,0.2789,0.06210327,0.14135742,0.045013428,0.08282471,0.045013428,37989
21890983,YLR142W,YGL096W,YPL177C,train,0.169113,0.1123,0.04071045,0.090026855,0.11773682,0.08282471,0.04071045,37991
3901285,YIR037W,YKL026C,YBR028C,train,0.058596,0.3348,0.08538818,0.07446289,0.088256836,0.08270264,0.07446289,38202
21979950,YML008C,YER045C,YIL036W,train,0.064806,0.3637,0.13244629,0.046569824,0.068603516,0.08253988,0.046569824,38477
21605654,YKL069W,YJR127C,YML081W,train,0.01611,0.4614,0.18554688,0.036315918,0.023742676,0.08186849,0.023742676,39746
20900800,YDR452W,YMR182C,YPL230W,test,0.007933,0.133,0.07775879,0.11376953,0.05267334,0.08140055,0.05267334,40681
20727945,YDL100C,YER045C,YIL036W,train,0.048847,0.3886,0.07305908,0.07751465,0.092163086,0.08091227,0.07305908,41661
30159959,YJL133W,YKR052C,YOR061W,train,0.077605,0.3197,0.103881836,0.07531738,0.062805176,0.08066813,0.062805176,42193
18775215,YBR023C,YML007W,YDR423C,val,0.071398,0.3835,0.07598877,0.10498047,0.05819702,0.079722084,0.05819702,44285
20737495,YDL100C,YMR182C,YPL230W,test,0.062339,0.152,0.07861328,0.10656738,0.05230713,0.0791626,0.05230713,45584
21799479,YLR044C,YFR023W,YHR015W,train,0.121534,0.3896,0.091430664,0.059783936,0.0848999,0.078704834,0.059783936,46680
23399056,YBR001C,YDR001C,YOR061W,test,-0.014781,0.34,0.0496521,0.1439209,0.039794922,0.07778931,0.039794922,49006
31168659,YLL012W,YLR020C,YBR083W,train,0.075541,0.3716,0.07550049,0.09851074,0.05734253,0.07711792,0.05734253,50775
31691273,YLR284C,YOR180C,YER111C,train,-0.0138,0.4511,0.08972168,0.10461426,0.033355713,0.07589722,0.033355713,54226
21791700,YLR044C,YBL056W,YER089C,train,0.10223,0.466,0.10424805,0.0758667,0.047302246,0.075805664,0.047302246,54520
30159957,YJL133W,YKR052C,YOL003C,train,-0.001021,0.4625,0.039031982,0.09222412,0.096069336,0.07577515,0.039031982,54612
31168662,YLL012W,YLR020C,YCL033C,train,-0.057184,0.4121,0.08831787,0.042388916,0.09613037,0.07561239,0.042388916,55126
18967170,YDL095W,YML007W,YDR423C,train,-0.014538,0.4953,0.022369385,0.117248535,0.08703613,0.07555135,0.022369385,55309
21898775,YLR142W,YMR182C,YPL230W,train,0.074293,0.1692,0.09185791,0.06616211,0.068115234,0.07537842,0.06616211,55837
3901320,YIR037W,YKL026C,YKL185W,train,0.062611,0.4241,0.084472656,0.06347656,0.078063965,0.07533773,0.06347656,55979
20661028,YCR034W,YIR018W,YOL028C,train,0.005866,0.4727,0.076416016,0.121276855,0.027282715,0.07499186,0.027282715,57072
31168720,YLL012W,YLR020C,YPL181W,train,0.01838,0.4226,0.016830444,0.19128418,0.016296387,0.07480367,0.016296387,57699
38484249,YLR180W,YOR066W,YKR077W,train,0.051793,0.4517,0.117248535,0.06463623,0.042266846,0.0747172,0.042266846,57963
30159916,YJL133W,YKR052C,YDR099W,train,0.063046,0.4637,0.03488159,0.08392334,0.10510254,0.074635826,0.03488159,58225
21598905,YKL069W,YER045C,YIL036W,train,0.072139,0.3448,0.12683105,0.0368042,0.059661865,0.07443237,0.0368042,58895
20221276,YPR140W,YML007W,YDR423C,train,-0.002794,0.2184,0.07824707,0.08026123,0.06365967,0.07405599,0.06365967,60138
30159917,YJL133W,YKR052C,YDR247W,train,-0.019341,0.4125,0.069885254,0.04675293,0.10522461,0.07395426,0.04675293,60462
20656344,YCR034W,YFR023W,YHR015W,train,0.082235,0.4714,0.046173096,0.12890625,0.046051025,0.07371012,0.046051025,61363
24939750,YCR048W,YNR019W,YER111C,train,-0.0708445,0.3556327351875359,0.04345703,0.1373291,0.03817749,0.07298788,0.03817749,64013
31818115,YLR432W,YML056C,YHR079C,train,0.167398,4.172e-24,0.1352539,0.061920166,0.021087646,0.072753906,0.021087646,64870
20720780,YDL100C,YBL005W,YGL013C,train,0.049237,0.3881,0.114990234,0.0496521,0.053253174,0.072631836,0.0496521,65325
20662114,YCR034W,YJR127C,YML081W,val,0.122636,0.004682,0.107421875,0.026031494,0.084350586,0.07260132,0.026031494,65436
19737162,YLR044C,YOR066W,YKR077W,val,0.0251295,0.315830517148847,0.08843994,0.052612305,0.07458496,0.07187907,0.052612305,68407
31168668,YLL012W,YLR020C,YDR099W,train,-0.015777,0.4076,-0.010215759,0.15441895,0.07122803,0.0718104,-0.010215759,68657
31168709,YLL012W,YLR020C,YOL003C,train,0.041243,0.4991,0.051879883,0.09967041,0.06323242,0.07159424,0.051879883,69526
31953629,YML100W,YMR261C,YBR028C,train,0.037238,0.3761,0.07965088,0.064941406,0.070129395,0.07157389,0.064941406,69628
31953688,YML100W,YMR261C,YOR304W,train,0.026424,0.2679,0.10626221,0.036499023,0.0715332,0.07143148,0.036499023,70251
22399043,YPL053C,YGL096W,YPL177C,train,-0.081584,0.09436,0.12780762,0.026794434,0.058746338,0.07111613,0.026794434,71678
22370545,YOR251C,YMR182C,YPL230W,train,0.021387,0.237,0.074645996,0.07763672,0.060943604,0.07107544,0.060943604,71825
4407157,YKL148C,YJL045W,YFL031W,train,0.022603,0.1883,0.13635254,0.048461914,0.027709961,0.07084147,0.027709961,72840
19726143,YLR044C,YAL051W,YOR363C,train,0.045796,0.4126,0.07104492,0.09802246,0.040649414,0.0699056,0.040649414,77131
31168684,YLL012W,YLR020C,YHR079C,train,0.074653,0.1453,0.061065674,0.074157715,0.07397461,0.069732666,0.061065674,77981
22362753,YOR251C,YGL096W,YPL177C,test,0.071349,0.05974,0.16015625,-0.0067825317,0.055511475,0.069628395,-0.0067825317,78529
3901315,YIR037W,YKL026C,YJL187C,train,0.00867,0.3617,0.058624268,0.10723877,0.0423584,0.06940714,0.0423584,79588
23399021,YBR001C,YDR001C,YER161C,val,0.007511,0.3628,0.010757446,0.11425781,0.0826416,0.069218956,0.010757446,80545
30159934,YJL133W,YKR052C,YIL095W,val,0.121167,0.09796,0.03036499,0.10369873,0.07348633,0.06918335,0.03036499,80774
3901341,YIR037W,YKL026C,YOR123C,test,0.025113,0.4374,0.0914917,0.07397461,0.04144287,0.06896973,0.04144287,81852
22013675,YMR015C,YDR122W,YLR096W,train,0.127325,0.1434,0.04196167,0.092285156,0.071777344,0.06867472,0.04196167,83424
21591740,YKL069W,YBL005W,YGL013C,train,0.054868,0.2099,0.034240723,0.048797607,0.121032715,0.06802368,0.034240723,87042
27124605,YEL006W,YIL006W,YBR082C,test,0.011907,0.1136,0.10559082,0.011077881,0.08734131,0.068003334,0.011077881,87171
19850163,YLR386W,YML007W,YDR423C,train,0.07047,0.4981,0.05178833,0.08929443,0.06274414,0.0679423,0.05178833,87548
20721145,YDL100C,YBL056W,YER089C,train,0.043088,0.4684,0.07421875,0.08691406,0.041900635,0.06767782,0.041900635,89066
21455503,YJL139C,YGL096W,YPL177C,train,0.040168,0.3059,0.080322266,0.11981201,0.0025348663,0.06755638,0.0025348663,89762
30159958,YJL133W,YKR052C,YOL054W,val,0.222424,0.1847,0.045928955,0.10949707,0.04724121,0.06755575,0.045928955,89763
20131697,YOR251C,YML007W,YDR423C,train,0.018945,0.2394,0.05697632,0.062164307,0.08294678,0.067362465,0.05697632,90966
19990930,YOL086C,YML007W,YDR423C,test,0.002143,0.1906,0.05697632,0.07128906,0.07373047,0.06733195,0.05697632,91152
30978165,YKL220C,YLL051C,YOR123C,train,0.108522,0.1007,0.08770752,0.06842041,0.045654297,0.06726074,0.045654297,91552
31168656,YLL012W,YLR020C,YBL088C,train,0.02364,0.2729,0.04232788,0.09399414,0.06542969,0.06725057,0.04232788,91615
36756654,YHR046C,YOR066W,YKR077W,train,0.085296,0.2649,0.068603516,0.076538086,0.0552063,0.06678263,0.0552063,94647
19861679,YML008C,YKR029C,YJL105W,train,0.031077,0.4474,0.11993408,0.039398193,0.04031372,0.06654867,0.039398193,96208
29787688,YIL111W,YNL052W,YKL185W,train,0.008741,0.4281,0.111816406,0.024627686,0.062347412,0.06626383,0.024627686,98150
30159907,YJL133W,YKR052C,YBR083W,train,-0.046393,0.4384,0.04360962,0.087768555,0.06738281,0.06625366,0.04360962,98198
23399047,YBR001C,YDR001C,YMR080C,train,0.059753,0.3178,0.02545166,0.026428223,0.14672852,0.0662028,0.02545166,98541
3901296,YIR037W,YKL026C,YDR099W,train,0.059171,0.2849,0.07434082,0.074523926,0.0496521,0.06617228,0.0496521,98726
30978125,YKL220C,YLL051C,YER111C,train,0.087118,0.2162,0.086120605,0.088012695,0.02420044,0.066111244,0.02420044,99166
21895974,YLR142W,YJR127C,YML081W,train,0.103686,0.2658,0.059906006,0.06549072,0.072753906,0.06605021,0.059906006,99563
29787698,YIL111W,YNL052W,YMR080C,train,0.029037,0.1012,0.06677246,0.09832764,0.032226562,0.06577555,0.032226562,101435
19798975,YLR142W,YML007W,YDR423C,train,0.016755,0.4993,0.06878662,0.074279785,0.05368042,0.065582275,0.05368042,102812
21043159,YER056C,YJR127C,YML081W,train,0.051787,0.4055,0.06890869,0.08807373,0.039733887,0.065572105,0.039733887,102911
19824569,YLR308W,YML007W,YDR423C,train,0.008479,0.2316,0.060150146,0.07354736,0.06286621,0.06552124,0.060150146,103312
21744065,YLL041C,YER045C,YIL036W,train,0.113756,0.1874,0.06726074,0.06829834,0.060394287,0.06531779,0.060394287,104841
31818123,YLR432W,YML056C,YKL185W,test,0.065256,0.07099,0.117614746,0.03152466,0.046020508,0.06505331,0.03152466,106737
31168665,YLL012W,YLR020C,YDL048C,test,-0.065191,0.1724,0.04864502,0.027557373,0.11871338,0.064971924,0.027557373,107350
29787680,YIL111W,YNL052W,YHR079C,train,-0.087372,0.4937,0.07006836,0.078552246,0.046203613,0.064941406,0.046203613,107585
3901339,YIR037W,YKL026C,YOR061W,train,-0.08753,0.2977,0.08905029,0.06738281,0.038208008,0.06488037,0.038208008,108027
20891250,YDR452W,YER045C,YIL036W,train,0.066474,0.2559,0.066833496,0.09442139,0.033203125,0.064819336,0.033203125,108484
22163158,YOL086C,YGL096W,YPL177C,train,-0.007852,0.4373,0.10101318,0.08081055,0.012359619,0.06472778,0.012359619,109174
19866372,YML008C,YPL089C,YBR182C,train,0.055204,0.02813,0.14819336,0.04776001,-0.0024166107,0.06451225,-0.0024166107,111028
20728924,YDL100C,YFR023W,YHR015W,train,0.06387,0.3373,0.07318115,0.06732178,0.052642822,0.06438192,0.052642822,112078
3901348,YIR037W,YKL026C,YPL181W,train,0.057286,0.4726,0.08959961,0.06518555,0.038024902,0.06427002,0.038024902,113014
28889151,YGR243W,YHR162W,YKL185W,train,0.016753,0.4278,0.09289551,0.047729492,0.05142212,0.06401571,0.047729492,115145
19891966,YMR015C,YPL089C,YBR182C,train,0.028435,0.3689,0.058685303,0.07946777,0.0524292,0.06352743,0.0524292,119419
21889225,YLR142W,YER045C,YIL036W,train,0.030827,0.3665,0.0637207,0.049468994,0.0769043,0.06336466,0.049468994,120915
31557426,YLR174W,YNL009W,YKL185W,train,0.019099,0.4232,0.06323242,0.05355835,0.07196045,0.062917076,0.05355835,124978
30159915,YJL133W,YKR052C,YDR043C,train,0.051276,0.4565,0.056915283,0.06970215,0.059783936,0.06213379,0.056915283,132662
19862702,YML008C,YLR266C,YOR172W,train,-0.042605,0.1864,0.14294434,0.021133423,0.022018433,0.062032063,0.021133423,133671
20934289,YDR503C,YJR127C,YML081W,train,0.135907,0.377,0.10845947,0.011383057,0.06561279,0.06181844,0.011383057,135931
30159943,YJL133W,YKR052C,YLR098C,train,-0.019836,0.4984,0.019622803,0.14257812,0.023101807,0.061767578,0.019622803,136500
29787660,YIL111W,YNL052W,YCR073C,train,-0.028836,0.3889,0.06304932,0.06359863,0.058563232,0.06173706,0.058563232,136809
31168663,YLL012W,YLR020C,YCR065W,train,-0.059945,0.4942,0.054779053,0.08459473,0.04562378,0.06166585,0.04562378,137505
22488989,YPR140W,YFR023W,YHR015W,train,0.075925,0.3928,0.10888672,0.04309082,0.032562256,0.061513264,0.032562256,139240
28889135,YGR243W,YHR162W,YER161C,train,-0.030487,0.4807,0.059539795,0.09442139,0.030029297,0.06133016,0.030029297,141221
20865940,YDR399W,YBL005W,YGL013C,test,0.007917,0.1956,0.104003906,0.04550171,0.034332275,0.061279297,0.034332275,141763
4407136,YKL148C,YJL045W,YBR082C,test,0.072492,0.4948,0.08984375,0.056427002,0.03753662,0.061269123,0.03753662,141878
18971120,YDL100C,YAL051W,YOR363C,train,0.019696,0.4425,0.07891846,0.05960083,0.04486084,0.06112671,0.04486084,143447
23035428,YAL062W,YOR375C,YKL185W,train,-0.033427,0.4641,0.06707764,0.05026245,0.0657959,0.06104533,0.05026245,144487
31168712,YLL012W,YLR020C,YOR066W,train,-0.075226,0.3394,0.03857422,0.06311035,0.080444336,0.060709637,0.03857422,148328
31557447,YLR174W,YNL009W,YOR123C,train,-0.013645,0.32,0.10430908,0.053375244,0.024139404,0.06060791,0.024139404,149580
5887219,YPL053C,YDR483W,YOR061W,train,0.097597,0.4235,0.051971436,0.11529541,0.014297485,0.060521442,0.014297485,150575
23035449,YAL062W,YOR375C,YOR123C,train,-0.00298,0.1916,0.08453369,0.05432129,0.040893555,0.05991618,0.040893555,158112
20383190,YAR015W,YER045C,YIL036W,train,0.029342,0.4653,0.06933594,0.040100098,0.070129395,0.059855144,0.040100098,158883
3901344,YIR037W,YKL026C,YOR304W,train,0.030399,0.1049,0.07507324,0.03491211,0.06896973,0.05965169,0.03491211,161600
19188669,YER056C,YAL051W,YOR363C,train,0.018456,0.4493,0.05923462,0.06939697,0.050231934,0.059621174,0.050231934,161991
19597635,YKL069W,YPL089C,YBR182C,train,0.000926,0.2561,0.04928589,0.10839844,0.020736694,0.059473675,0.020736694,163940
19729415,YLR044C,YER088C,YBL054W,train,0.106271,0.3954,0.05496216,0.07208252,0.051116943,0.059387207,0.051116943,165141
23035394,YAL062W,YOR375C,YBR082C,train,-0.018183,0.1105,0.08947754,0.03564453,0.052856445,0.059326172,0.03564453,165889
31168678,YLL012W,YLR020C,YFL021W,train,0.070263,0.1746,0.078308105,0.06402588,0.035583496,0.059305828,0.035583496,166210
22017219,YMR015C,YFR023W,YHR015W,train,0.010598,0.4208,0.050842285,0.09387207,0.032836914,0.059183758,0.032836914,167771
30159949,YJL133W,YKR052C,YML007W,train,0.029927,0.3113,0.04055786,0.056793213,0.07940674,0.05891927,0.04055786,171502
21481440,YJL155C,YMR182C,YPL230W,train,0.0349,0.3301,0.081848145,0.04852295,0.046173096,0.058848064,0.046173096,172515
30159933,YJL133W,YKR052C,YHR124W,train,-0.010408,0.3427,-0.005580902,0.13671875,0.045196533,0.058778126,-0.005580902,173423
21925515,YLR308W,YER045C,YIL036W,train,-0.044017,0.4845,0.06970215,0.0524292,0.053375244,0.058502197,0.0524292,177383
20909395,YDR497C,YER045C,YIL036W,train,0.011242,0.3403,0.06878662,0.056610107,0.050079346,0.058492023,0.050079346,177566
89215,YBR147W,YOL092W,YKL185W,train,-0.052462,0.4027,0.07458496,0.05166626,0.048950195,0.05840047,0.048950195,178890
3901307,YIR037W,YKL026C,YFL031W,train,-0.043361,0.3432,0.06628418,0.08685303,0.021942139,0.058359783,0.021942139,179587
20144494,YOR334W,YML007W,YDR423C,val,0.002185,0.3039,0.0635376,0.09259033,0.018737793,0.058288574,0.018737793,180608
22360995,YOR251C,YER045C,YIL036W,train,-0.023816,0.4328,0.060577393,0.055877686,0.05819702,0.058217365,0.055877686,181581
22009075,YMR015C,YBL005W,YGL013C,train,0.056222,0.1171,0.04220581,0.10858154,0.023529053,0.05810547,0.023529053,183340
18736824,YAR015W,YML007W,YDR423C,train,0.019099,0.4313,0.08666992,0.040039062,0.04736328,0.05802409,0.040039062,184647
20300212,YDR513W,YKL185W,YCL035C,train,-0.007793,0.4405,0.06933594,0.05038452,0.05407715,0.057932537,0.05038452,186063
3679148,YGR248W,YHR163W,YKL185W,train,0.039313,0.1599,0.076538086,0.046142578,0.05105591,0.05791219,0.046142578,186387
29787671,YIL111W,YNL052W,YER129W,train,-0.015312,0.374,0.05795288,0.06591797,0.04916382,0.057678223,0.04916382,190083
20408084,YBR018C,YJR127C,YML081W,train,0.130205,0.3629,0.055633545,0.10772705,0.009216309,0.057525635,0.009216309,192591
19199688,YER056C,YOR066W,YKR077W,train,-0.023442,0.1449,0.0574646,0.06112671,0.053894043,0.057495117,0.053894043,193097
35297796,YDR287W,YOR066W,YKR077W,train,0.081389,0.02357,0.045013428,0.05795288,0.068603516,0.05718994,0.045013428,198172
30159948,YJL133W,YKR052C,YLR367W,test,4.2e-05,0.4934,0.0519104,0.16040039,-0.040802002,0.057169598,-0.040802002,198507
22107944,YNL071W,YFR023W,YHR015W,train,-0.046694,0.4805,0.09246826,0.040252686,0.037902832,0.05687459,0.037902832,203588
20564640,YBR147W,YER045C,YIL036W,train,-0.062329,0.342,0.054656982,0.064331055,0.051361084,0.05678304,0.051361084,205149
