run_id,cell_dataset.is_pert,cell_dataset.size,cell_dataset.aggregation,cell_dataset.node_embeddings,random_forest.max_depth,random_forest.n_estimators,random_forest.min_samples_split,num_params,test_mae,test_mse,test_pearson,test_r2,test_spearman,val_mae,val_mse,val_pearson,val_r2,val_spearman,val_rmse,test_rmse
vpyezdow,True,1000,sum,['one_hot_gene'],5.0,100,5,1104.0,0.03976495656087794,0.004435031934755146,0.06663857438204639,-0.02056814734804635,-0.026671375407903583,0.0312127824413512,0.0018856829004748016,0.0499389636799956,-0.1063670928672482,0.22225360412319,0.04342445049133957,0.06659603542820809
3zqkhvrj,True,1000,sum,['one_hot_gene'],5.0,200,5,2200.0,0.039857484217492765,0.004449725464166038,0.02779267273440579,-0.023949351431688637,0.0539012578110389,0.03167900314982261,0.001902465838050123,0.0637650990131898,-0.1162139710726482,0.230269575271512,0.043617265366482146,0.06670626255582034
7kqofh84,True,1000,sum,['one_hot_gene'],5.0,500,5,5506.0,0.039846641978074054,0.004442612797270055,0.029967708593388615,-0.02231261884812996,0.028000173007406932,0.031070764140314067,0.0018554000271514856,0.06678625317227194,-0.08859953793319852,0.17904124301796245,0.04307435463418443,0.06665292789720535
q85fdyyf,True,1000,sum,['one_hot_gene'],5.0,100,10,1100.0,0.03978822111741475,0.0044353401685722936,0.06080483752196469,-0.020639076626649988,0.02322029012694507,0.0313427432817992,0.0019381232804552828,0.05542221876533273,-0.13713489095952047,0.2800775543350873,0.044024121575055676,0.06659834959345684
rsia2moe,True,1000,sum,['one_hot_gene'],5.0,200,10,2200.0,0.03969027952019972,0.004433298058885463,0.05842693949533726,-0.02016915619982318,0.03794628988693304,0.03151509395886627,0.0019440932073716095,0.05492310735473162,-0.14063756401519867,0.2146743791892474,0.04409187235048665,0.0665830162945887
ng5k2xez,True,1000,sum,['one_hot_gene'],5.0,500,10,5500.0,0.039859130205783966,0.00444232353815436,0.02722879477217199,-0.022246055936261167,0.033520051617028666,0.031400482583731855,0.0019125233592427336,0.060695023865631914,-0.12211491575455512,0.2845029037397198,0.04373240628232951,0.06665075797134164
p6n56ayx,True,1000,sum,['one_hot_gene'],10.0,100,2,2584.0,0.03955954061562112,0.004431638479317122,0.09453697641426756,-0.01978726175794443,0.08209858315707917,0.03139894849924956,0.0019807069821724576,0.07198271017696689,-0.16211958285044958,0.246863441825613,0.04450513433495575,0.06657055264392149
y7t3gia8,True,1000,sum,['one_hot_gene'],10.0,200,2,5300.0,0.03953776540294651,0.004404813465047327,0.145077323264265,-0.013614418919683846,0.13088396529988572,0.031448128176886636,0.0020039267105022383,0.07369880777005061,-0.1757430522698935,0.2097132068337624,0.044765239980393695,0.06636876874741106
lfwucd0q,True,1000,sum,['one_hot_gene'],10.0,500,2,13100.0,0.03968749101736731,0.004437412196275945,0.08738474774886207,-0.021115881643136714,0.07991541930306682,0.0313322623845802,0.0019541089564196305,0.0715784565468551,-0.14651400016167737,0.2229540696903571,0.04420530461855942,0.06661390392610199
ihahbmub,True,1000,sum,['one_hot_gene'],10.0,100,5,2106.0,0.03969753673679712,0.004433242978010465,0.08400265738120702,-0.020156481254664183,0.005039655047672974,0.03146536544028112,0.0020660223842859982,0.07357253305686323,-0.2121758003562624,0.17304165946076025,0.04545351894282772,0.06658260266774245
6y08tslu,True,1000,sum,['one_hot_gene'],10.0,200,5,4226.0,0.03986123426933816,0.004427859090020219,0.09658261465028475,-0.018917566930581,0.08201046386857046,0.03106408964895293,0.0019410623409762504,0.07511829653533919,-0.13885929533499874,0.28045581780265466,0.044057489045294565,0.06654216024461648
6hzyfc7z,True,1000,sum,['one_hot_gene'],10.0,500,5,10570.0,0.039761092441455086,0.004428485359458898,0.09456563770825888,-0.019061681031713903,0.05314457434538196,0.03111099339325886,0.0019374671130524756,0.08053711142489686,-0.13674990469184234,0.17225788377198145,0.0440166685819415,0.06654686588757504
i3vioz1r,True,1000,sum,['one_hot_gene'],10.0,100,10,2100.0,0.03996792580821453,0.004468183745248444,0.05454558930295926,-0.02819688200297432,0.051082881269780465,0.03097705707742764,0.0019114053824704296,0.08697458561021931,-0.12145897688426266,0.2557585100134681,0.04371962239624708,0.06684447430602207
gr7sk2pk,True,1000,sum,['one_hot_gene'],10.0,200,10,4200.0,0.03979768201992167,0.004434579783526221,0.08831864014966598,-0.02046410048912528,0.05132400570092848,0.03133121546962795,0.001926639507943212,0.07759109662991578,-0.13039713669228423,0.25045761053999577,0.04389350188744585,0.06659264061085295
mb389tmi,True,1000,sum,['one_hot_gene'],10.0,500,10,10500.0,0.03977301346540839,0.004434450673042074,0.09100469095071606,-0.020434390207543007,0.13495675708582863,0.03104160199341978,0.0019288597090862116,0.07784495282992034,-0.1316997721903006,0.21880850620671524,0.04391878537808407,0.06659167119874733
bikoox05,True,1000,sum,['one_hot_gene'],500.0,100,2,101388.0,0.03958555718194693,0.004566072192957058,0.1561718612296558,-0.05072249922387306,0.20857136000733964,0.03410609060171264,0.00222218438438542,0.13477663567773795,-0.30379910458351556,0.19100783107305688,0.047140050746529966,0.06757271781538063
vi5md6y2,True,1000,sum,['one_hot_gene'],500.0,200,2,202594.0,0.03939910210581511,0.004554546194262205,0.16298467046040843,-0.04807019202352114,0.2376146128537498,0.03404163320151783,0.0021414433776345844,0.14021684772157128,-0.25642677443638195,0.17898773148136993,0.046275732059413,0.06748737803665368
svnmltso,True,1000,sum,['one_hot_gene'],500.0,500,2,505290.0,0.0393903936633395,0.004569435653882712,0.15926928912650953,-0.051496482621528505,0.23352215449811925,0.03368392911728996,0.002142362505240526,0.15784583943452507,-0.2569660446058806,0.20711930419730865,0.046285661983388834,0.06759760094768684
ps97zwt4,True,1000,sum,['one_hot_gene'],500.0,100,5,73584.0,0.040298642202272965,0.004614246631566992,0.1486036370895626,-0.06180816856852611,0.23682252413975677,0.03381875915382984,0.002172870457754921,0.1292921662288953,-0.27486565790999684,0.1764554098759676,0.046614058584883176,0.06792824619822738
uwihhnv7,True,1000,sum,['one_hot_gene'],500.0,200,5,147090.0,0.03975526859267134,0.004544664717370047,0.17353952962315297,-0.04579631424467956,0.23008977007081627,0.033591921608150145,0.0021425385609088144,0.16462956688410124,-0.25706933991489445,0.21361812954956155,0.046287563782389914,0.06741412847000285
3jum926i,True,1000,sum,['one_hot_gene'],500.0,500,5,368046.0,0.03992778012848484,0.004592128055687292,0.15598939105698936,-0.05671834862143044,0.21775238828316765,0.03346876068580649,0.002134460858504117,0.15993346597795616,-0.2523299936948691,0.20445496582574793,0.046200225740835044,0.06776524223882986
qhjlr3sy,True,1000,sum,['one_hot_gene'],500.0,100,10,71874.0,0.04031584867652854,0.004670039332352414,0.13132389976580006,-0.07464691564268122,0.2096634823251179,0.03376234743459472,0.0021017205382106437,0.16280831311062158,-0.2331206064890392,0.2242574807495102,0.045844525716934224,0.0683376860330551
p4bwxm5n,True,1000,sum,['one_hot_gene'],500.0,200,10,143604.0,0.03999630696355414,0.004599736054399688,0.15462638264561668,-0.058469064572332696,0.21938457108775927,0.03392079048827379,0.0022321318963923298,0.13811768335419514,-0.309635504721405,0.1856305751239775,0.04724544312833069,0.06782135397055773
d0r9vgic,True,1000,sum,['one_hot_gene'],500.0,500,10,359082.0,0.04018859892675987,0.004627422075363759,0.14519310876323793,-0.06484003811624706,0.1974821180114376,0.03392084518621512,0.002213888019540133,0.14280162374401947,-0.2989314648266219,0.1822641475869379,0.04705197147346892,0.06802515766511504
a1r7vp0s,True,1000,sum,['codon_frequency'],5.0,100,2,4068.0,0.0376697241907208,0.004065909278230023,0.28749254294011334,0.06437257715089284,0.3824422442244224,0.029133348716379195,0.0015968288313489378,0.35482675658843643,0.06310924731762024,0.4584952250102395,0.039960340731141644,0.06376448289000722
4ubdz4rb,True,1000,sum,['codon_frequency'],5.0,200,2,7904.0,0.03795693739095658,0.003979063806732447,0.3195248806737182,0.08435703797456473,0.3709210921092109,0.0287817716022274,0.0015215167667572756,0.37309960381590235,0.1072963107624485,0.47496092097699816,0.03900662465219563,0.0630798209155071
ox1exxag,True,1000,sum,['codon_frequency'],5.0,500,2,19590.0,0.037744418797071515,0.003986381665614292,0.317955413395472,0.08267308760138437,0.36847284728472846,0.029041513671862484,0.0015745087489262592,0.3480635018676589,0.07620487686186583,0.4570850797652729,0.03968008000151032,0.06313779902415265
t1ngokm7,True,1000,sum,['codon_frequency'],5.0,100,5,3234.0,0.03793252261824232,0.004156017396942066,0.2515582685844082,0.04363733169430184,0.3753495349534953,0.028868596558535905,0.0015981673504195226,0.3496439885134776,0.06232391196113096,0.499203417954296,0.039977085316710154,0.06446718077395712
hc8xxss3,True,1000,sum,['codon_frequency'],5.0,200,5,6636.0,0.03814330134758,0.0040490649438167095,0.2900346672294213,0.06824871410287059,0.3762376237623762,0.028845600630331095,0.0015324468476402592,0.3700024769956133,0.10088341821924009,0.4988853851969205,0.03914647937733685,0.06363226338750422
j2bl0j5x,True,1000,sum,['codon_frequency'],5.0,500,5,16622.0,0.03833210357095173,0.0040587215921370845,0.28572825118110257,0.06602657279004587,0.34475847584758473,0.028974021675126336,0.0015820450216497005,0.34890780285051826,0.07178319804089917,0.4928307615706597,0.03977492956184461,0.06370809675494225
ja43t8t6,True,1000,sum,['codon_frequency'],5.0,100,10,3118.0,0.03889318697614332,0.004119031348926564,0.2626851794020573,0.05214838258552623,0.34397839783978396,0.02923221850984527,0.0015442221233369477,0.35459313686828464,0.09397463332387124,0.4683782429611329,0.039296591752172955,0.06417968018716332
g6alramx,True,1000,sum,['codon_frequency'],5.0,200,10,5974.0,0.0378780513379276,0.004044882105765869,0.2911236782412819,0.06921124861062711,0.3765256525652565,0.02911171311375972,0.0015943919237958748,0.3437783797693378,0.06453902871108241,0.4914026144715021,0.03992983751276575,0.06359938762099733
qgwopg8p,True,1000,sum,['codon_frequency'],5.0,500,10,15328.0,0.038312776695016565,0.004053308429472082,0.291666399917845,0.0672722236610176,0.3527392739273927,0.02873581070063341,0.0015474040192284778,0.36195814553577765,0.09210775268003037,0.4752069463176093,0.039337056565387274,0.06366559847729449
kzcma0dc,True,1000,sum,['codon_frequency'],10.0,100,2,29738.0,0.03825273731149013,0.004029049287207076,0.3053714587596339,0.07285462041528523,0.4016201620162016,0.03012339251035956,0.0015491140980234842,0.3864544299419355,0.09110441595542572,0.4451018454920887,0.039358786795625246,0.06347479253378521
3d0j41o6,True,1000,sum,['codon_frequency'],10.0,200,2,58920.0,0.038639263889765546,0.004022990646210256,0.2999072586753325,0.07424880564518532,0.3746054605460546,0.0292507823056267,0.0014776652651821607,0.4177210842647029,0.13302484566262052,0.4908565582277065,0.0384404118758132,0.0634270497990428
7hwkh8ha,True,1000,sum,['codon_frequency'],10.0,500,2,147816.0,0.03856693612567638,0.004053065549141638,0.290803668192929,0.06732811411062767,0.3915991599159916,0.02941800976097245,0.0014972410940618372,0.415010972269867,0.12153932342416718,0.4921406904933357,0.03869419974701424,0.06366369097956573
fbs6jvex,True,1000,sum,['codon_frequency'],10.0,100,5,16854.0,0.03959513014798646,0.004084864581947548,0.2760341541344119,0.06001067412922223,0.35585958595859585,0.02958697684611678,0.0015954941675206252,0.3764048927790988,0.06389232072795537,0.476749105159977,0.039943637384702774,0.06391294533932503
d60zftim,True,1000,sum,['codon_frequency'],10.0,200,5,34168.0,0.03867854209726639,0.004016328607434278,0.3040913526973648,0.07578184186029813,0.4027842784278427,0.029338006815725005,0.0015199353250514983,0.405609422394255,0.10822417358716808,0.5095304816419022,0.0389863479316991,0.06337451070765183
bc4e532d,True,1000,sum,['codon_frequency'],10.0,500,5,86574.0,0.03829655853502731,0.004017499327338062,0.300382526512187,0.07551244144540914,0.3816501650165016,0.02941460794398407,0.001557864996310986,0.3957151277814385,0.08597009252496834,0.4901304834420003,0.03946979853395487,0.06338374655491787
fp04fjuz,True,1000,sum,['codon_frequency'],10.0,100,10,11888.0,0.03874400859893211,0.004037885862400112,0.29722094553216083,0.07082119037321788,0.3961116111611161,0.029456880321859745,0.0015652378325240654,0.4050672479524174,0.08164430510588694,0.4828157300223651,0.03956308674160884,0.06354436137376873
nbrg1p0x,True,1000,sum,['codon_frequency'],10.0,200,10,24536.0,0.03867587300238212,0.004051212372400374,0.2907742670357246,0.06775455819972653,0.3825742574257425,0.02912238062242281,0.0015229801697148782,0.40486551587414216,0.10643770358332603,0.507076228853854,0.03902537853390891,0.06364913489121729
2m3mvipc,True,1000,sum,['codon_frequency'],10.0,500,10,60512.0,0.03835153477418599,0.004032342177855277,0.29767804773822343,0.07209687630933659,0.3905190519051905,0.02931183429425083,0.0014943324879580536,0.41375914916530776,0.12324585959656864,0.5030858178415017,0.03865659695262962,0.06350072580573608
0og4wze7,True,1000,sum,['codon_frequency'],500.0,100,2,100932.0,0.038835510825892566,0.00404129621387669,0.2951424638762007,0.07003641674825678,0.3985478547854784,0.028964480808281224,0.0014098848225285216,0.450365120014822,0.17279295899338254,0.5040099130233097,0.03754843302360994,0.06357119012474668
ub4klbxh,True,1000,sum,['codon_frequency'],500.0,200,2,201852.0,0.03841711034046603,0.003948159265886297,0.32632318202122623,0.09146864178260794,0.43230723072307226,0.02933670081210658,0.0015353887343563404,0.41757531686371807,0.09915735565973129,0.5350031053222559,0.03918403672870293,0.06283437964909255
nhs8uyiu,True,1000,sum,['codon_frequency'],500.0,500,2,505694.0,0.03876715891878208,0.004024862362129255,0.29949120868598056,0.07381809540996809,0.4146654665466546,0.029693249728142107,0.0015029404863901618,0.4118984644136815,0.11819537831027194,0.4832657763771417,0.03876777639212961,0.06344180295459181
mb35j7ex,True,1000,sum,['codon_frequency'],500.0,100,5,38922.0,0.038727465895197793,0.004030831045278094,0.29699586819276097,0.072444610845949,0.39900390039003897,0.030500187561548965,0.0015687044756838677,0.3884711135401636,0.07961035766236257,0.4814835928122265,0.039606874096346806,0.06348882614506346
gfiam90z,True,1000,sum,['codon_frequency'],500.0,200,5,77626.0,0.03828181093543721,0.00398732782869849,0.31280082538135207,0.08245536111820795,0.41434143414341434,0.029615020765744172,0.0014796997354363012,0.4242040549805027,0.13183118211503697,0.49974947419809146,0.038466865422546466,0.06314529142143925
6bus1aik,True,1000,sum,['codon_frequency'],500.0,500,5,194342.0,0.03849706724640384,0.004009133688215626,0.3039495987829964,0.0774375019514364,0.38850285028502846,0.02947464435368276,0.0015239238024924715,0.41135045202539966,0.10588405574963287,0.5124947869653638,0.03903746665054575,0.0633177201754424
m1kn0fn0,True,1000,sum,['codon_frequency'],500.0,100,10,21276.0,0.038234568870109654,0.0039807863099716,0.3125042969672944,0.08396066384120027,0.4317311731173117,0.029489249753818676,0.0015261424327417592,0.4138998118310544,0.10458234192572656,0.5333049304102323,0.03906587299346783,0.06309347280005753
76tqptk8,True,1000,sum,['codon_frequency'],500.0,200,10,42634.0,0.038832614909630435,0.0040372587549680925,0.29593152775655884,0.07096549730933466,0.3675487548754875,0.02938192054190953,0.0014845293184885004,0.4256717015273788,0.12899757114053167,0.505828100296607,0.03852959016766854,0.06353942677557056
8cyv3w3y,True,1000,sum,['codon_frequency'],500.0,500,10,107104.0,0.038070295624150985,0.003980709312379309,0.3153571939154536,0.08397838215558229,0.4059645964596459,0.029675201260688223,0.0015532068669026056,0.399009851005494,0.0887031082883567,0.4784952850165101,0.0394107455765887,0.06309286261043565
e3c1duwk,True,1000,sum,['calm'],5.0,100,2,2946.0,0.039137051402811894,0.0042251723527496595,0.22580676651994752,0.027723726974702937,0.3301410141014101,0.028973574221644968,0.0014080283766525511,0.4431042667498698,0.17388217215130297,0.4937068518079581,0.037523704196848036,0.06500132577686135
bcxm010j,True,1000,sum,['calm'],5.0,200,2,5772.0,0.03874911220573665,0.00411143110183675,0.2685617224191921,0.05389731477044568,0.35218721872187214,0.029376492217877432,0.001412679732207607,0.4272442011394903,0.17115313074034066,0.4099562254930707,0.03758563199159497,0.06412044215253627
wtf7sy9e,True,1000,sum,['calm'],5.0,500,2,14228.0,0.03898448268111168,0.004202615957753743,0.22894976273021195,0.032914295744103095,0.293045304530453,0.02877274183989055,0.0013662692371770257,0.4523133620454277,0.1983830772242301,0.4339646983658847,0.03696307937898337,0.06482758639463407
qfupdw4s,True,1000,sum,['calm'],5.0,100,5,2362.0,0.03932428432380009,0.004230574777088106,0.2219122294176012,0.026480547155619982,0.32943294329432943,0.02925206391978768,0.0014105521051083051,0.4339748328250025,0.1724014512336578,0.4293742255471637,0.03755731759735119,0.0650428687642858
3nu4i6jd,True,1000,sum,['calm'],5.0,200,5,4748.0,0.03897992217244822,0.004220191721608392,0.22627584747214888,0.02886984577863616,0.31151515151515147,0.02871879252687524,0.0013676159748332653,0.45146301576081616,0.1975929198625583,0.44620595921580736,0.03698129222773679,0.06496300271391703
qt02s8mu,True,1000,sum,['calm'],5.0,500,5,11602.0,0.03918821957333682,0.0042546070849408145,0.21007909247336257,0.020950348441708955,0.29616561656165613,0.02903572539345128,0.0013886248733275637,0.4410611886067749,0.18526658761145331,0.4400373238463365,0.037264257316194614,0.06522734920982773
ytyaponf,True,1000,sum,['calm'],5.0,100,10,2210.0,0.03920797456365173,0.0041680291895562745,0.23983897965720713,0.04087323594145165,0.3132433243324332,0.02895265304020512,0.001390575684418091,0.43592238016566853,0.1841220085338063,0.4304663380347548,0.037290423494753866,0.06456027563104323
sorobgov,True,1000,sum,['calm'],5.0,200,10,4232.0,0.039650912241190626,0.004308571098744065,0.18830815525406544,0.00853240999146676,0.27711971197119706,0.029386323451501727,0.0014389204463517466,0.42039739718598573,0.15575718977110242,0.43136043012624425,0.03793310488678387,0.06563970672347695
00lpygyp,True,1000,sum,['calm'],5.0,500,10,10810.0,0.0392732022354178,0.0042420307259106865,0.2134241271203423,0.02384435949384589,0.29005700570057,0.029138728901570085,0.0014016635891452823,0.4329206201945509,0.1776165176498815,0.4160408522096499,0.03743879791266384,0.06513087383039388
be6hkeap,True,1000,sum,['calm'],10.0,100,2,18360.0,0.03912704216413498,0.004282137561653851,0.22165388224200727,0.014615167990255418,0.342010201020102,0.02894792798550656,0.0013985369684382397,0.4497615558795086,0.1794509672603004,0.4572410958349287,0.03739701817576155,0.06543804368755114
owtp79fd,True,1000,sum,['calm'],10.0,200,2,37060.0,0.039138507955865945,0.004241805737240415,0.2315225315798845,0.02389613280095415,0.3394179417941794,0.029649849280068193,0.0013883331866025217,0.4634758712400424,0.18543772592634775,0.4831457640158679,0.03726034335057209,0.06512914660304106
8guamcp1,True,1000,sum,['calm'],10.0,500,2,93764.0,0.039066238678015994,0.00418050551779425,0.24878129418109707,0.03800224349250092,0.3371737173717371,0.02897604925447411,0.0013517067638782842,0.4717097089794152,0.2069271655459881,0.4752789537343735,0.03676556491988508,0.06465682885662001
ogjjsfwp,True,1000,sum,['calm'],10.0,100,5,11620.0,0.03877646338878256,0.004171471412994281,0.2581846273530522,0.04008112809452624,0.3584278427842784,0.029309445670376695,0.0014164292693409242,0.44555341070476706,0.16895320386146762,0.4618375692717134,0.037635478864243566,0.06458692911877977
ycqu3lw0,True,1000,sum,['calm'],10.0,200,5,21774.0,0.03921780946366995,0.004272613142622352,0.22099532084206647,0.01680688133720365,0.3319651965196519,0.02910304357729703,0.0014130614958199749,0.4623176492253711,0.17092914255130254,0.4931367930919077,0.03759071023298143,0.06536522885007251
a6b4rx3s,True,1000,sum,['calm'],10.0,500,5,55540.0,0.038623058093887754,0.004183519780858165,0.25075753436240944,0.03730861582171652,0.3487428742874287,0.029143160629208787,0.001374229725736393,0.4677714942827399,0.1937125026631451,0.4754889753666026,0.0370706046044085,0.06468013436023587
ie0mw39m,True,1000,sum,['calm'],10.0,100,10,8184.0,0.03914561843959177,0.004246801301756028,0.22287343803786436,0.022746577600978424,0.3295889588958895,0.02989531832961423,0.0014041494588594634,0.4536571658713714,0.17615800919746227,0.46134551859049105,0.037471982318252973,0.06516748653858018
ecklqy9r,True,1000,sum,['calm'],10.0,200,10,15766.0,0.03942154752525896,0.004268757658874975,0.217213766420056,0.017694086652312202,0.3247404740474047,0.02925523226565936,0.0013897570443187428,0.45669818703511433,0.18460232071492244,0.4697703863519084,0.037279445332766725,0.06533573033857488
zpzqytbk,True,1000,sum,['calm'],10.0,500,10,39632.0,0.039273850897573945,0.004323477736700291,0.20177033602709188,0.005102166397738528,0.30874287428742864,0.02995094513775747,0.0014283933453000854,0.4477334708379065,0.16193364615404648,0.4743428573164383,0.03779409140725684,0.06575315761771666
8tkiqddl,True,1000,sum,['calm'],500.0,100,2,100840.0,0.03937083084410405,0.004213520726706151,0.2419257251203959,0.030404942934306067,0.3691929192919292,0.02951115460416622,0.001389781358554887,0.4710352448194939,0.18458805507633003,0.4923147084171825,0.037279771439144946,0.06491163783718719
md74ymko,True,1000,sum,['calm'],500.0,200,2,202212.0,0.03948286457919094,0.0042455008900994,0.22884093752436513,0.02304582205619743,0.3218961896189619,0.02960368117922626,0.0014140171207232945,0.4484455681595151,0.17036845870255413,0.4632117108082978,0.037603419003107874,0.06515750831714945
wrod8njo,True,1000,sum,['calm'],500.0,500,2,505450.0,0.03877115197026898,0.004225184973874772,0.2370337298390789,0.027720822662295808,0.3469426942694269,0.029133315575717713,0.0013544168106708156,0.47681920607209705,0.2053371280107099,0.49129460334635566,0.0368024022404899,0.06500142286038647
n6xacpq6,True,1000,sum,['calm'],500.0,100,5,37806.0,0.039098714151210426,0.00431288801433312,0.20595731926252464,0.0075390222076148206,0.33399339933993394,0.030172678754406827,0.0014186002697903787,0.457987864903883,0.1676794353740556,0.46742414468900656,0.03766431029224322,0.06567258190701139
kueavkxg,True,1000,sum,['calm'],500.0,200,5,75626.0,0.03908818944612742,0.0042264770044873595,0.2330369108844698,0.027423506812488285,0.3604440444044404,0.029677945721628483,0.0014028776370799848,0.452386931974462,0.17690421194684958,0.4674121434528791,0.03745500817087062,0.06501136058018905
yo0ovtkh,True,1000,sum,['calm'],500.0,500,5,188884.0,0.03925039982786766,0.0042588969325064105,0.2281053192833601,0.01996318942079711,0.35007500750075,0.02880466482323536,0.001338464855009261,0.4915860209207431,0.2146964528507335,0.4968991806178399,0.036585035943801684,0.06526022473533485
mukbv64v,True,1000,sum,['calm'],500.0,100,10,19990.0,0.039511569789277175,0.00424497359197941,0.2345371674099644,0.023167161355064803,0.3376657665766576,0.02965869370375427,0.0014500381988391572,0.4528045580853222,0.14923418662162435,0.4750389290118261,0.03807936710134712,0.06515346185721377
ewyfbfjq,True,1000,sum,['calm'],500.0,200,10,39876.0,0.03901464865216155,0.004246972215000967,0.2302937759876287,0.022707247869803823,0.37292529252925294,0.02956073197738287,0.0013629150414153574,0.47291216584155255,0.2003510495767451,0.482029649056022,0.03691767925283708,0.06516879786370904
tfau82ko,True,1000,sum,['calm'],500.0,500,10,99312.0,0.03905175793384189,0.004194329242155018,0.246954916241315,0.03482119474970358,0.35230723072307224,0.02922373498708005,0.0013568402590979985,0.4776492342406063,0.20391524335002775,0.4846399179137261,0.03683531266458856,0.06476364135960097
7ls4862b,True,1000,sum,['fudt_downstream'],5.0,100,2,2898.0,0.03751565278941548,0.004097061031168266,0.2752420059874209,0.05720408608915217,0.4216261626162616,0.02906281777224941,0.0013259989126943254,0.4780260718015138,0.2220104653792204,0.4194972082143339,0.036414267982403895,0.06400828876925445
ceadncup,True,1000,sum,['fudt_downstream'],5.0,200,2,5546.0,0.03807117702008213,0.004139677638364332,0.2532647843225755,0.047397358089853014,0.388010801080108,0.02996652601329296,0.001429438977149635,0.432454945536264,0.1613201534669653,0.3782909639709915,0.03780792214800537,0.06434032668835567
3idki7r6,True,1000,sum,['fudt_downstream'],5.0,500,2,13564.0,0.03790371859543127,0.004128004623895242,0.2615470010143674,0.050083495850740345,0.4052325232523252,0.029380364017266625,0.0013647156863357288,0.46049397749938736,0.19929457593245636,0.3958367711892139,0.036942058501601246,0.06424954960071894
