unit_id,reaction_id,gene_id,uniprot,sequence_length,substrate_met_id,substrate_name,smiles,smiles_source
18,r_0015,YBR153W,P33312,244,s_1212,NADPH,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,smilesDB
19,r_0016,YCL009C,P25605,309,s_0179,2-oxobutanoate,CCC(=O)C(=O)[O-],smilesDB
19,r_0016,YCL009C,P25605,309,s_0799,H+,[H+],smilesDB
19,r_0016,YCL009C,P25605,309,s_1401,pyruvate,CC(=O)C(=O)[O-],smilesDB
19,r_0016,YMR108W,P07342,687,s_0179,2-oxobutanoate,CCC(=O)C(=O)[O-],smilesDB
19,r_0016,YMR108W,P07342,687,s_0799,H+,[H+],smilesDB
19,r_0016,YMR108W,P07342,687,s_1401,pyruvate,CC(=O)C(=O)[O-],smilesDB
20,r_0016,YMR108W,P07342,687,s_0179,2-oxobutanoate,CCC(=O)C(=O)[O-],smilesDB
20,r_0016,YMR108W,P07342,687,s_0799,H+,[H+],smilesDB
20,r_0016,YMR108W,P07342,687,s_1401,pyruvate,CC(=O)C(=O)[O-],smilesDB
21,r_0017,YNL256W,P53848,824,s_0148,"2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol",C1C(=NC2=C(N1)N=C(NC2=O)N)CO,smilesDB
21,r_0017,YNL256W,P53848,824,s_0437,ATP,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,smilesDB
22,r_0018,YER152C,P10356,443,s_0176,2-oxoadipic acid,C(CC(=O)C(=O)O)CC(=O)O,smilesDB
22,r_0018,YER152C,P10356,443,s_0991,L-glutamate,C(CC(=O)O)C(C(=O)O)N,smilesDB
23,r_0018,YGL202W,P53090,500,s_0176,2-oxoadipic acid,C(CC(=O)C(=O)O)CC(=O)O,smilesDB
23,r_0018,YGL202W,P53090,500,s_0991,L-glutamate,C(CC(=O)O)C(C(=O)O)N,smilesDB
24,r_0018,YJL060W,P47039,444,s_0176,2-oxoadipic acid,C(CC(=O)C(=O)O)CC(=O)O,smilesDB
24,r_0018,YJL060W,P47039,444,s_0991,L-glutamate,C(CC(=O)O)C(C(=O)O)N,smilesDB
25,r_0019,YHR063C,P38787,379,s_0149,2-dehydropantoate,CC(C)(CO)C(=O)C(=O)O,smilesDB
25,r_0019,YHR063C,P38787,379,s_0794,H+,[H+],smilesDB
25,r_0019,YHR063C,P38787,379,s_1212,NADPH,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,smilesDB
26,r_0020,YDR035W,P14843,370,s_0552,D-erythrose 4-phosphate,C(C(C(C=O)O)O)OP(=O)(O)O,smilesDB
26,r_0020,YDR035W,P14843,370,s_0807,H2O,O,smilesDB
26,r_0020,YDR035W,P14843,370,s_1361,phosphoenolpyruvate,C=C(C(=O)O)OP(=O)(O)O,smilesDB
27,r_0020,YBR249C,P32449,370,s_0552,D-erythrose 4-phosphate,C(C(C(C=O)O)O)OP(=O)(O)O,smilesDB
27,r_0020,YBR249C,P32449,370,s_0807,H2O,O,smilesDB
27,r_0020,YBR249C,P32449,370,s_1361,phosphoenolpyruvate,C=C(C(=O)O)OP(=O)(O)O,smilesDB
28,r_0021,YDR204W,O13525,335,s_0155,"2-hexaprenyl-6-methoxy-1,4-benzoquinone",CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C=C(C1=O)OC)C)C)C)C)C)C,smilesDB
28,r_0021,YDR204W,O13525,335,s_1419,S-adenosyl-L-methionine,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,smilesDB
28,r_0021,YGR255C,P53318,479,s_0155,"2-hexaprenyl-6-methoxy-1,4-benzoquinone",CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C=C(C1=O)OC)C)C)C)C)C)C,smilesDB
28,r_0021,YGR255C,P53318,479,s_1419,S-adenosyl-L-methionine,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,smilesDB
28,r_0021,YLR201C,Q05779,260,s_0155,"2-hexaprenyl-6-methoxy-1,4-benzoquinone",CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C=C(C1=O)OC)C)C)C)C)C)C,smilesDB
28,r_0021,YLR201C,Q05779,260,s_1419,S-adenosyl-L-methionine,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,smilesDB
28,r_0021,YML110C,P49017,307,s_0155,"2-hexaprenyl-6-methoxy-1,4-benzoquinone",CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C=C(C1=O)OC)C)C)C)C)C)C,smilesDB
28,r_0021,YML110C,P49017,307,s_1419,S-adenosyl-L-methionine,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,smilesDB
28,r_0021,YOL096C,P27680,312,s_0155,"2-hexaprenyl-6-methoxy-1,4-benzoquinone",CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C=C(C1=O)OC)C)C)C)C)C)C,smilesDB
28,r_0021,YOL096C,P27680,312,s_1419,S-adenosyl-L-methionine,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,smilesDB
28,r_0021,YOR125C,P41735,233,s_0155,"2-hexaprenyl-6-methoxy-1,4-benzoquinone",CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C=C(C1=O)OC)C)C)C)C)C)C,smilesDB
28,r_0021,YOR125C,P41735,233,s_1419,S-adenosyl-L-methionine,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,smilesDB
29,r_0022,YDR204W,O13525,335,s_0157,2-hexaprenyl-6-methoxyphenol,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C,smilesDB
29,r_0022,YDR204W,O13525,335,s_1278,oxygen,O=O,smilesDB
29,r_0022,YGR255C,P53318,479,s_0157,2-hexaprenyl-6-methoxyphenol,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C,smilesDB
29,r_0022,YGR255C,P53318,479,s_1278,oxygen,O=O,smilesDB
29,r_0022,YLR201C,Q05779,260,s_0157,2-hexaprenyl-6-methoxyphenol,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C,smilesDB
29,r_0022,YLR201C,Q05779,260,s_1278,oxygen,O=O,smilesDB
29,r_0022,YML110C,P49017,307,s_0157,2-hexaprenyl-6-methoxyphenol,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C,smilesDB
29,r_0022,YML110C,P49017,307,s_1278,oxygen,O=O,smilesDB
29,r_0022,YOL096C,P27680,312,s_0157,2-hexaprenyl-6-methoxyphenol,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C,smilesDB
29,r_0022,YOL096C,P27680,312,s_1278,oxygen,O=O,smilesDB
29,r_0022,YOR125C,P41735,233,s_0157,2-hexaprenyl-6-methoxyphenol,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C,smilesDB
29,r_0022,YOR125C,P41735,233,s_1278,oxygen,O=O,smilesDB
30,r_0023,YGL009C,P07264,779,s_0165,2-isopropylmaleic acid,CC(C)C(=CC(=O)O)C(=O)O,smilesDB
30,r_0023,YGL009C,P07264,779,s_0803,H2O,O,smilesDB
31,r_0024,YNL104C,P06208,619,s_0232,3-methyl-2-oxobutanoate,CC(C)C(=O)C(=O)O,smilesDB
31,r_0024,YNL104C,P06208,619,s_0373,acetyl-CoA,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,smilesDB
31,r_0024,YNL104C,P06208,619,s_0803,H2O,O,smilesDB
32,r_0024,YOR108W,Q12166,604,s_0232,3-methyl-2-oxobutanoate,CC(C)C(=O)C(=O)O,smilesDB
32,r_0024,YOR108W,Q12166,604,s_0373,acetyl-CoA,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,smilesDB
32,r_0024,YOR108W,Q12166,604,s_0803,H2O,O,smilesDB
33,r_0025,YNL104C,P06208,619,s_0233,3-methyl-2-oxobutanoate,CC(C)C(=O)C(=O)O,smilesDB
33,r_0025,YNL104C,P06208,619,s_0376,acetyl-CoA,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,smilesDB
33,r_0025,YNL104C,P06208,619,s_0807,H2O,O,smilesDB
34,r_0026,YHR208W,P38891,393,s_0294,4-methylthio-2-oxobutanoate,CSCCC(=O)C(=O)O,smilesDB
34,r_0026,YHR208W,P38891,393,s_0991,L-glutamate,C(CC(=O)O)C(C(=O)O)N,smilesDB
35,r_0026,YJR148W,P47176,376,s_0294,4-methylthio-2-oxobutanoate,CSCCC(=O)C(=O)O,smilesDB
35,r_0026,YJR148W,P47176,376,s_0991,L-glutamate,C(CC(=O)O)C(C(=O)O)N,smilesDB
36,r_0026,YGL202W,P53090,500,s_0294,4-methylthio-2-oxobutanoate,CSCCC(=O)C(=O)O,smilesDB
36,r_0026,YGL202W,P53090,500,s_0991,L-glutamate,C(CC(=O)O)C(C(=O)O)N,smilesDB
37,r_0026,YHR137W,P38840,513,s_0294,4-methylthio-2-oxobutanoate,CSCCC(=O)C(=O)O,smilesDB
37,r_0026,YHR137W,P38840,513,s_0991,L-glutamate,C(CC(=O)O)C(C(=O)O)N,smilesDB
38,r_0027,YDR234W,P49367,693,s_0834,homocitrate,C(CC(CC(=O)O)(C(=O)O)O)C(=O)O,smilesDB
39,r_0028,YPR001W,P43635,486,s_0807,H2O,O,smilesDB
39,r_0028,YPR001W,P43635,486,s_1273,oxaloacetate,C(C(=O)C(=O)O)C(=O)O,smilesDB
39,r_0028,YPR001W,P43635,486,s_1382,propionyl-CoA,CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,smilesDB
40,r_0032,YOL064C,P32179,357,s_0390,"adenosine 3',5'-bismonophosphate",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N,smilesDB
40,r_0032,YOL064C,P32179,357,s_0803,H2O,O,smilesDB
41,r_0033,YGL248W,P22434,369,s_0192,"3',5'-cyclic AMP",C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,smilesDB
41,r_0033,YGL248W,P22434,369,s_0803,H2O,O,smilesDB
42,r_0033,YOR360C,P06776,526,s_0192,"3',5'-cyclic AMP",C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,smilesDB
42,r_0033,YOR360C,P06776,526,s_0803,H2O,O,smilesDB
43,r_0034,YOR360C,P06776,526,s_0194,"3',5'-cyclic dAMP",C1C2C(COP(=O)(O2)O)OC1N3C=NC4=C(N=CN=C43)N,smilesDB
43,r_0034,YOR360C,P06776,526,s_0803,H2O,O,smilesDB
44,r_0035,YOR360C,P06776,526,s_0196,"3',5'-cyclic IMP",C1C2C(C(C(O2)N3C=NC4=C3N=CNC4=O)O)OP(=O)(O1)O,smilesDB
44,r_0035,YOR360C,P06776,526,s_0803,H2O,O,smilesDB
45,r_0036,YOR360C,P06776,526,s_0195,"3',5'-cyclic GMP",C1C2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)O,smilesDB
45,r_0036,YOR360C,P06776,526,s_0803,H2O,O,smilesDB
46,r_0037,YOR360C,P06776,526,s_0193,"3',5'-cyclic CMP",C1C2C(C(C(O2)N3C=CC(=NC3=O)N)O)OP(=O)(O1)O,smilesDB
46,r_0037,YOR360C,P06776,526,s_0803,H2O,O,smilesDB
47,r_0038,YDR487C,Q99258,208,s_0577,D-ribulose 5-phosphate,C(C(C(C(=O)CO)O)O)OP(=O)(O)O,smilesDB
48,r_0039,YDR127W,P08566,1588,s_0210,3-dehydroquinate,C1C(C(C(=O)CC1(C(=O)[O-])O)O)O,smilesDB
49,r_0040,YDR127W,P08566,1588,s_0349,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid,C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O,smilesDB
50,r_0041,YBR265W,P38342,320,s_0231,3-ketosphinganine,CCCCCCCCCCCCCCCC(=O)C(CO)N,smilesDB
50,r_0041,YBR265W,P38342,320,s_0795,H+,[H+],smilesDB
50,r_0041,YBR265W,P38342,320,s_1213,NADPH,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,smilesDB
51,r_0042,YBR249C,P32449,370,s_0551,D-erythrose 4-phosphate,C(C(C(C=O)O)O)OP(=O)(O)O,smilesDB
51,r_0042,YBR249C,P32449,370,s_0803,H2O,O,smilesDB
51,r_0042,YBR249C,P32449,370,s_1360,phosphoenolpyruvate,C=C(C(=O)O)OP(=O)(O)O,smilesDB
52,r_0042,YDR035W,P14843,370,s_0551,D-erythrose 4-phosphate,C(C(C(C=O)O)O)OP(=O)(O)O,smilesDB
52,r_0042,YDR035W,P14843,370,s_0803,H2O,O,smilesDB
52,r_0042,YDR035W,P14843,370,s_1360,phosphoenolpyruvate,C=C(C(=O)O)OP(=O)(O)O,smilesDB
53,r_0043,YPL252C,Q12184,172,s_0215,3-hexaprenyl-4-hydroxybenzoic acid,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)O)C)C)C)C)C)C,smilesDB
53,r_0043,YPL252C,Q12184,172,s_1275,oxygen,O=O,smilesDB
54,r_0043,YDR376W,P48360,493,s_0215,3-hexaprenyl-4-hydroxybenzoic acid,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)O)C)C)C)C)C)C,smilesDB
54,r_0043,YDR376W,P48360,493,s_1275,oxygen,O=O,smilesDB
55,r_0044,YDR538W,P33751,242,s_0214,3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC(=C1)C(=O)O)OC)O)C)C)C)C)C)C,smilesDB
55,r_0044,YDR538W,P33751,242,s_0799,H+,[H+],smilesDB
55,r_0044,YDR539W,Q03034,503,s_0214,3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC(=C1)C(=O)O)OC)O)C)C)C)C)C)C,smilesDB
55,r_0044,YDR539W,Q03034,503,s_0799,H+,[H+],smilesDB
56,r_0045,YLR231C,Q05979,453,s_0222,3-hydroxy-L-kynurenine,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N,smilesDB
56,r_0045,YLR231C,Q05979,453,s_0803,H2O,O,smilesDB
57,r_0057,YKR009C,Q02207,900,s_0054,(S)-3-hydroxytetradecanoyl-CoA,CCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O,smilesDB
