gene,screens,n_records,frac_pos,enrichment
YPL183W-A,260,260,0.16153846153846155,2.9793747034322773
YOR074C,281,281,0.1601423487544484,2.953625150835252
YLL012W,12,1128,0.1595744680851064,2.9431513027826446
YDR304C,10,1041,0.15946205571565802,2.9410779973500087
YHR057C,11,1042,0.15930902111324377,2.9382554656826865
YOR140W,264,264,0.1590909090909091,2.934232662471182
YDR358W,10,1006,0.15904572564612326,2.9333993103943654
YLR020C,12,1128,0.15868794326241134,2.92680046221163
YDR378C,285,285,0.15789473684210525,2.9121707627533535
YJR076C,286,286,0.15734265734265734,2.901988347498971
YOR174W,262,262,0.15648854961832062,2.886235399726288
YOR103C,275,275,0.15636363636363637,2.8839315311145333
YDL102W,276,276,0.15579710144927536,2.873482503827886
YGR283C,11,1111,0.1548154815481548,2.8553777535787455
YPR085C,291,291,0.15463917525773196,2.852126004758439
YGL142C,272,272,0.15441176470588236,2.847931701810265
YPL106C,272,272,0.15441176470588236,2.847931701810265
YHL025W,293,293,0.15358361774744028,2.83265756786589
YDR309C,10,1018,0.15324165029469547,2.8263504062871445
YMR310C,11,1111,0.15301530153015303,2.8221756866766676
YLL029W,308,308,0.1525974025974026,2.8144680640029707
YLR287C-A,302,302,0.152317880794702,2.809312634267584
YGR231C,292,292,0.1506849315068493,2.779194928837675
YGR136W,11,1078,0.150278293135436,2.7716949931214665
YPR154W,12,1079,0.15013901760889714,2.7691262303845607
YHR061C,11,1019,0.1481844946025515,2.7330775002745735
YHR118C,279,279,0.14695340501792115,2.710371594008199
YKR028W,295,1323,0.14663643235071808,2.704525429959401
YNL006W,301,301,0.1461794019933555,2.6960960771448548
YBR231C,302,302,0.1456953642384106,2.6871686066907325
YGL002W,11,1073,0.14538676607642126,2.6814768999070955
YAR002C-A,12,1074,0.1452513966480447,2.6789801802609996
YDL021W,1,1035,0.14492753623188406,2.6730069803050105
YOL056W,10,1044,0.1446360153256705,2.6676302421262363
YNR041C,284,284,0.1443661971830986,2.6626537842545335
YMR039C,271,271,0.14391143911439114,2.6542663409596985
YDL088C,285,1314,0.14383561643835616,2.652867886617781
YBR037C,1,1083,0.14312096029547552,2.63968694869456
YCR063W,296,296,0.14189189189189189,2.6170183205824054
YKL212W,325,325,0.14153846153846153,2.6104997401501855
YPL191C,11,1067,0.1415182755388941,2.610127434657723
YLR384C,283,283,0.1413427561837456,2.606890199873438
YLR320W,298,298,0.14093959731543623,2.5994544392362147
YMR153W,279,1308,0.14067278287461774,2.5945333808832123
YLR026C,292,292,0.1404109589041096,2.589704365507834
YKL056C,295,295,0.13898305084745763,2.563368388909449
YBL084C,289,289,0.1384083044982699,2.5527679119867925
YPL178W,283,283,0.13780918727915195,2.541717944876602
YDL013W,298,298,0.13758389261744966,2.537562666873448
YJL098W,281,1309,0.13750954927425516,2.536191496973891
YOR327C,291,291,0.13745704467353953,2.535223115340835
YGL167C,313,313,0.13738019169329074,2.5338056583274655
YPR070W,292,292,0.136986301369863,2.5265408443978865
YOL001W,307,307,0.13680781758957655,2.523248934502906
YER052C,278,278,0.1366906474820144,2.5210878785466684
YNL147W,293,293,0.13651877133105803,2.5179178381030134
YPL161C,250,250,0.136,2.508349750318222
YPL008W,287,287,0.13588850174216027,2.5062933045298896
YOR326W,280,280,0.1357142857142857,2.5030801079856206
YNR028W,11,1113,0.13566936208445643,2.502251547870432
YCR069W,11,1113,0.13566936208445643,2.502251547870432
YJR141W,297,297,0.13468013468013468,2.4840064867480907
YEL006W,1,1101,0.1344232515894641,2.479268599716146
YIL006W,11,1111,0.1341134113411341,2.4735539842048437
YLR100W,307,307,0.13355048859934854,2.4631715789195034
YGR270W,300,300,0.13333333333333333,2.4591664218806097
YJR115W,11,1065,0.13333333333333333,2.4591664218806097
YPL190C,293,293,0.13310580204778158,2.454969892150438
YHR108W,307,1303,0.13277052954719878,2.4487862105833393
YNL298W,1,1115,0.13273542600896862,2.4481387697645536
YDR123C,264,264,0.13257575757575757,2.445193885392652
YBL043W,12,1066,0.13227016885553472,2.4395576839950706
YJL101C,266,266,0.13157894736842105,2.426808968961128
YOL113W,12,1126,0.13143872113676733,2.424222671658505
YJL203W,309,309,0.12944983818770225,2.3875402154180674
YKR061W,8,1058,0.1285444234404537,2.3708409738357488
YNL138W,322,322,0.12732919254658384,2.3484275612679735
YHR041C,286,286,0.1258741258741259,2.3215906779991773
YJL187C,302,302,0.12582781456953643,2.320736523960178
YLR378C,272,272,0.125,2.3054685205130716
YPL128C,273,273,0.12454212454212454,2.2970235808774926
YDR172W,290,290,0.12413793103448276,2.2895687376129814
YBR194W,285,285,0.12280701754385964,2.2650217043637193
YFR052W,304,304,0.12171052631578948,2.2447982962890434
YPR020W,288,288,0.12152777777777778,2.2414277282765975
YJR017C,305,305,0.12131147540983607,2.237438301874981
YLR185W,256,256,0.12109375,2.233422629247038
YBR024W,305,1387,0.12040374909877433,2.2206964263918265
YNL307C,1,1147,0.12031386224934612,2.219038575977708
YPL213W,283,283,0.12014134275618374,2.215856669892422
YOR196C,267,267,0.1198501872659176,2.2104866713533573
YGR157W,309,309,0.11974110032362459,2.2084746992617124
YDR475C,10,1063,0.11947318908748825,2.2035334118920797
YOL128C,12,1158,0.11917098445595854,2.19795962577412
YDL006W,294,294,0.11904761904761904,2.1956843052505444
YPL101W,269,269,0.11895910780669144,2.194051826213183
YKL041W,286,286,0.11888111888111888,2.192613418110334
YGR092W,278,278,0.11870503597122302,2.1893657892642118
YJR127C,11,1114,0.118491921005386,2.185435150504312
YLR005W,287,287,0.11846689895470383,2.1849736501029806
YHR122W,287,287,0.11846689895470383,2.1849736501029806
YGL082W,291,1347,0.11804008908685969,2.1771016763865085
YDL002C,305,305,0.1180327868852459,2.1769669964189005
YJL058C,10,1076,0.11802973977695168,2.176910796320893
YDR532C,280,280,0.11785714285714285,2.173727462198039
YOR019W,10,1063,0.11759172154280338,2.168832098318976
YDR404C,298,298,0.1174496644295302,2.166212032696846
YDL103C,307,307,0.11726384364820847,2.1627848010024904
YML081W,1,1104,0.11684782608695653,2.155111877870915
YBR270C,11,1077,0.11606313834726091,2.1406392948125084
YNL141W,293,293,0.11604095563139932,2.1402301623875615
YPL069C,276,276,0.11594202898550725,2.1384055842440084
YGR230W,11,1097,0.11577028258887875,2.1352379369565
YPL274W,11,1123,0.1157613535173642,2.1350732514101467
YMR307W,295,295,0.1152542372881356,2.1257201273883237
YLL061W,12,1124,0.11476868327402136,2.1167646914319307
YIL149C,306,4308,0.11467038068709377,2.114951623274758
YKR036C,8,1056,0.11458333333333333,2.113346143803649
YPR164W,315,315,0.11428571428571428,2.1078569330405226
YOR061W,272,272,0.11397058823529412,2.102044827526624
YER056C,290,290,0.11379310344827587,2.0987713428119
YER169W,1,1021,0.11361410381978453,2.095469918742537
YDR096W,11,1031,0.11348205625606207,2.093034466731557
YGL084C,309,309,0.11326860841423948,2.0890976884908095
YLR195C,274,274,0.11313868613138686,2.08670143462497
YKR095W,321,4323,0.11311589174184594,2.086281020644723
YPR138C,12,1110,0.11261261261261261,2.0769986671288936
YNR017W,302,302,0.11258278145695365,2.076448468806475
YHR027C,267,267,0.11235955056179775,2.072331254393772
YHR134W,303,303,0.11221122112211221,2.0695955035628892
YML065W,277,277,0.11191335740072202,2.0641017800983454
YBR023C,287,287,0.11149825783972125,2.0564457883322174
YDL074C,287,287,0.11149825783972125,2.0564457883322174
YMR142C,1,1098,0.1111111111111111,2.049305351567175
YMR272C,299,299,0.11036789297658862,2.0355976234630466
YDR081C,300,300,0.11,2.028812298051503
YDL083C,292,292,0.1095890410958904,2.021232675518309
YMR198W,11,3818,0.10869565217391304,2.004755235228758
YPL253C,11,3818,0.10843373493975904,1.9999244997221826
YDR062W,286,286,0.10839160839160839,1.999147528277069
YKL050C,10,1098,0.10837887067395265,1.998912597020441
YDL008W,296,296,0.10810810810810811,1.9939187204437376
YBL105C,297,297,0.10774410774410774,1.9872051893984723
YCR009C,317,317,0.10725552050473186,1.9781938093992286
YOL004W,280,280,0.10714285714285714,1.9761158747254899
YOL052C,272,272,0.10661764705882353,1.9664290322023257
YMR031C,11,1099,0.10646041856232939,1.9635291494087672
YER153C,292,292,0.10616438356164383,1.9580691544083622
YOR083W,10,1093,0.10612991765782251,1.9574334739580335
YER096W,304,1338,0.10612855007473841,1.9574082506000368
YCL035C,11,1113,0.10601976639712489,1.955401871845768
YDL097C,274,274,0.10583941605839416,1.9520755356169073
YBR131W,303,303,0.10561056105610561,1.9478545915886019
YKR091W,8,1091,0.10540788267644363,1.9441164425958075
YJL139C,299,1349,0.10526315789473684,1.9414471751689024
YJR059W,304,304,0.10526315789473684,1.9414471751689024
YJL045W,10,1058,0.10491493383742911,1.935024618351236
YML069W,286,286,0.1048951048951049,1.9346588983326476
YDR246W,267,267,0.10486891385767791,1.9341758374341875
YOR106W,298,298,0.1040268456375839,1.9186449432457777
YDR438W,10,1059,0.10387157695939565,1.9157812068475004
YML018C,12,1061,0.10367577756833177,1.9121699321880332
YOR039W,280,280,0.10357142857142858,1.9102453455679738
YPR043W,290,290,0.10344827586206896,1.9079739480108178
YDL117W,271,271,0.1033210332103321,1.9056271165864505
YGR055W,284,284,0.10211267605633803,1.8833404815458896
YLR293C,284,284,0.10211267605633803,1.8833404815458896
YDR483W,1,1048,0.10209923664122138,1.883092608358005
YAL010C,314,314,0.10191082802547771,1.8796176472972814
YBL061C,284,1318,0.10166919575113809,1.8751610424810414
YER093C-A,1,1059,0.10103871576959396,1.8635326284789324
YJL011C,268,268,0.10074626865671642,1.8581388075776994
YJR075W,288,288,0.10069444444444445,1.8571829748577522
YOL091W,12,1063,0.1006585136406397,1.8565202761610435
YBR148W,11,1062,0.09981167608286252,1.840901417509496
YPL226W,291,291,0.09965635738831616,1.8380367586221054
YDL082W,290,1387,0.09949531362653208,1.8350665080363597
YJL104W,292,292,0.09931506849315068,1.8317421121884678
YDR393W,282,282,0.09929078014184398,1.8312941439536456
YNR034W,11,1120,0.09910714285714285,1.827907184121078
YCR073W-A,11,1120,0.09910714285714285,1.827907184121078
YKL072W,10,1032,0.09883720930232558,1.8229285976149867
YMR053C,11,1033,0.09874152952565343,1.8211639039096479
YPR168W,284,284,0.09859154929577464,1.818397706320169
YBR001C,12,1036,0.09845559845559845,1.815890263261261
YJL112W,285,1333,0.09827456864216054,1.8125513949720173
YMR237W,1,1055,0.0976303317535545,1.8006692520405412
YDR001C,11,1035,0.09758454106280193,1.7998247000720404
YBL059W,305,1363,0.09757887013939838,1.7997201069889275
YLR337C,308,308,0.09740259740259741,1.7964689770231728
YOL102C,299,299,0.09698996655518395,1.788858517588738
YHR152W,296,1382,0.09696092619392185,1.7883229044790252
YIL045W,11,1114,0.09694793536804308,1.7880833049580733
YBL091C-A,12,1104,0.09692028985507246,1.7875734180789757
YOR299W,10,1064,0.09680451127819549,1.7854380271642585
YDR423C,10,1049,0.09628217349857007,1.7758041607002497
YBR181C,272,272,0.09558823529411764,1.7630053392158782
YGR121C,315,1413,0.09554140127388536,1.7621415443412014
YLR432W,10,1089,0.09550045913682277,1.7613864178759189
YGR211W,325,325,0.09538461538461539,1.7592498248838209
YML056C,12,1091,0.09532538955087076,1.7581574785214258
YGR148C,285,285,0.09473684210526316,1.7473024576520122
YPL086C,275,275,0.09454545454545454,1.7437725536971596
YNL064C,320,320,0.09375,1.7291013903848038
YJR030C,10,1101,0.09355131698455948,1.725436930883534
YJL181W,10,1101,0.09355131698455948,1.725436930883534
YKL145W,310,310,0.0935483870967742,1.725382892771073
YHR030C,280,1328,0.09337349397590361,1.7221572080941017
YDR159W,279,279,0.0931899641577061,1.7187722303466628
YDL108W,279,279,0.0931899641577061,1.7187722303466628
YBR036C,269,269,0.09293680297397769,1.7141029892290494
YMR268C,280,280,0.09285714285714286,1.7126337580954247
YMR015C,292,292,0.09246575342465753,1.7054150699685735
YDR503C,293,293,0.09215017064846416,1.699594540719534
YLR079W,304,304,0.09210526315789473,1.6987662782727895
YMR207C,272,272,0.09191176470588236,1.6951974415537292
YKL148C,280,1328,0.09186746987951808,1.6943804789312937
YLR373C,10,3621,0.09168737917702292,1.6910589313677764
YLR276C,284,284,0.09154929577464789,1.6885121558687286
YGR071C,11,3622,0.09138597459966868,1.6854999012475465
YKL093W,11,1085,0.0912442396313364,1.6828857771855785
YBR135W,307,307,0.09120521172638436,1.6821659563352704
YGL168W,307,307,0.09120521172638436,1.6821659563352704
YMR081C,1,1075,0.09116279069767441,1.6813835535648818
YAL048C,308,308,0.09090909090909091,1.6767043785549611
YCR034W,322,322,0.09006211180124224,1.6610829091895423
YBR058C-A,300,300,0.09,1.6599373347694115
YIL048W,301,301,0.08970099667774087,1.6544225927934335
YEL060C,1,1106,0.08951175406871609,1.6509322497706624
YDR188W,280,280,0.08928571428571429,1.6467632289379084
YOR003W,10,1115,0.08878923766816144,1.6376063392343971
YKR096W,8,1138,0.08875219683655536,1.6369231674644655
YKL161C,12,1060,0.08867924528301886,1.6355776673828581
YGL174W,316,316,0.08860759493670886,1.6342561664396458
YIL151C,11,1141,0.08851884312007012,1.632619250284454
YOR214C,10,1046,0.08795411089866156,1.6222034714126392
YGL087C,307,307,0.08794788273615635,1.622088600751868
YCL010C,307,307,0.08794788273615635,1.622088600751868
YDR513W,287,1389,0.08783297336213103,1.6199692411956501
YDR399W,285,285,0.08771929824561403,1.6178726459740853
YBR142W,285,285,0.08771929824561403,1.6178726459740853
YPL087W,11,1050,0.08761904761904762,1.6160236486644008
YBR183W,11,1050,0.08761904761904762,1.6160236486644008
YPR057W,286,286,0.08741258741258741,1.6122157486105395
YNR018W,286,286,0.08741258741258741,1.6122157486105395
YPR162C,309,309,0.08737864077669903,1.6115896454071958
YLR044C,309,309,0.08737864077669903,1.6115896454071958
YDL155W,1,1077,0.0872794800371402,1.6097607496990063
YIL036W,11,1123,0.08726625111308994,1.6095167587553414
YLR222C,298,298,0.087248322147651,1.6091860814319425
YER045C,12,1124,0.08718861209964412,1.608084804343637
YJL050W,287,287,0.08710801393728224,1.6065982721345449
YGL244W,310,310,0.08709677419354839,1.6063909691316887
YLR048W,310,310,0.08709677419354839,1.6063909691316887
YJL115W,276,276,0.08695652173913043,1.6038041881830063
YPL130W,11,1047,0.08691499522445081,1.6030382836041224
YHL020C,289,289,0.08650519031141868,1.595479944991745
YLR115W,301,301,0.08637873754152824,1.593147681949232
YJR147W,11,1067,0.08622305529522024,1.5902763178047055
YBL021C,290,290,0.08620689655172414,1.589978290009015
YDR083W,279,279,0.08602150537634409,1.586558981858458
YDR510W,293,293,0.08532423208191127,1.5736986488143836
YER120W,293,1385,0.0851985559566787,1.5713807100103536
YER074W,294,294,0.08503401360544217,1.5683459323218174
YDL130W-A,1,1120,0.08482142857142858,1.564425067491013
YDL181W,1,1120,0.08482142857142858,1.564425067491013
YJL046W,260,260,0.08461538461538462,1.5606248446550024
YMR078C,284,284,0.08450704225352113,1.558626605417288
YML001W,296,296,0.08445945945945946,1.55774900034667
YOL006C,285,285,0.08421052631578947,1.553157740135122
YKL048C,297,297,0.08417508417508418,1.5525040542175568
YDR082W,262,262,0.08396946564885496,1.5487116779019108
YOL041C,274,274,0.08394160583941605,1.5481978385927195
YNL071W,298,298,0.08389261744966443,1.5472943090691758
YER103W,1,1086,0.08379373848987108,1.5454706104360185
YBR104W,11,1053,0.0835707502374169,1.5413578712641998
YPL053C,298,1345,0.08327137546468401,1.5358362783492283
YGR243W,11,1093,0.08325709057639524,1.535572811467078
YGR041W,11,1070,0.08317757009345794,1.5341061557058944
YMR275C,296,1360,0.08308823529411764,1.532458487164571
YML081C-A,301,301,0.08305647840531562,1.531872771105031
YDL070W,301,301,0.08305647840531562,1.531872771105031
YKL079W,289,289,0.08304498269896193,1.5316607471920751
YDL105W,277,277,0.08303249097472924,1.531430352976192
YDR116C,265,265,0.0830188679245283,1.5311790928690587
YBL075C,12,1097,0.0829535095715588,1.5299736398664687
YER136W,314,314,0.08280254777070063,1.527189338429041
YBR202W,290,290,0.08275862068965517,1.5263791584086543
YGL078C,290,290,0.08275862068965517,1.5263791584086543
YML007W,280,1319,0.08263836239575435,1.5241611447213028
YPR058W,12,1054,0.0825426944971537,1.5223966700921234
YKL110C,279,279,0.08243727598566308,1.5204523576143556
YHR162W,11,1093,0.08234217749313816,1.5186983849674398
YIR005W,304,304,0.08223684210526316,1.5167556056007052
YPL149W,292,292,0.0821917808219178,1.515924506638732
YML017W,268,268,0.08208955223880597,1.514039028396644
YFL013C,317,317,0.08201892744479496,1.512736442481763
YNR002C,11,1110,0.08198198198198198,1.5120550296698343
YPL232W,293,293,0.08191126279863481,1.510750702861808
YBR171W,281,281,0.08185053380782918,1.5096306326491287
YDR339C,281,281,0.08185053380782918,1.5096306326491287
YCR048W,11,3972,0.08182275931520644,1.5091183669018091
YAL011W,318,318,0.08176100628930817,1.50797940964377
YPR179C,306,306,0.08169934640522876,1.5068421702699815
YLR353W,10,1069,0.0813844714686623,1.5010346962367613
YKR030W,295,295,0.08135593220338982,1.500508325215287
YNR019W,11,3972,0.08131923464249748,1.4998314846439518
YPL230W,11,1083,0.08125577100646353,1.4986609773233632
YCR053W,320,320,0.08125,1.4985545383334966
YNL309W,1,1110,0.08108108108108109,1.4954390403328033
YCR010C,11,1110,0.08108108108108109,1.4954390403328033
YNL157W,1,1087,0.08095676172953081,1.4931461255208853
YLR448W,285,285,0.08070175438596491,1.4884428342961586
YDR236C,286,286,0.08041958041958042,1.4832384887216963
YMR182C,11,1083,0.08033240997229917,1.4816307389446886
YOL131W,12,1121,0.08028545941123996,1.4807647946203493
YHR132W-A,11,1097,0.08021877848678213,1.4795349484422995
YIL084C,300,300,0.08,1.4754998531283658
YPR157W,12,1091,0.07974335472043996,1.4707663522246543
YLL002W,302,302,0.07947019867549669,1.4657283309222178
YGR141W,11,1090,0.07889908256880734,1.4551948092779756
YHR111W,279,279,0.07885304659498207,1.454345733370253
YKL185W,279,279,0.07885304659498207,1.454345733370253
YHR160C,11,1091,0.07882676443629698,1.453860991854256
YPL223C,11,1069,0.07857811038353602,1.4492748791251489
YMR175W,11,1069,0.07857811038353602,1.4492748791251489
YDR074W,280,280,0.07857142857142857,1.4491516414653594
YHR206W,268,1324,0.07854984894259819,1.4487536322257368
YAR015W,306,306,0.0784313725490196,1.446568483459182
YDR492W,10,1110,0.07837837837837838,1.4455910723217098
YDR391C,281,281,0.07829181494661921,1.4439945181861231
YLR033W,307,307,0.0781758957654723,1.4418565340016603
YGL252C,307,307,0.0781758957654723,1.4418565340016603
YGL031C,282,282,0.07801418439716312,1.438873970249293
YGL113W,295,295,0.07796610169491526,1.4379871449979837
YDR452W,295,295,0.07796610169491526,1.4379871449979837
YGR239C,11,1091,0.07791017415215398,1.4369556314838576
YER054C,300,1403,0.07769066286528867,1.4329070205897352
YIL056W,11,1120,0.07767857142857143,1.4326840091759803
YGL247W,309,309,0.07766990291262135,1.4325241292508406
YCL024W,11,1110,0.07747747747747748,1.4289750829846786
YOL077C,284,284,0.07746478873239436,1.428741054965847
YDR507C,1,1100,0.07727272727272727,1.425198721771717
YOL064C,272,272,0.07720588235294118,1.4239658509051325
YDR004W,272,272,0.07720588235294118,1.4239658509051325
YER119C,12,1114,0.07719928186714542,1.4238441132073547
YLR216C,285,285,0.07719298245614035,1.423727928457195
YDL100C,285,285,0.07719298245614035,1.423727928457195
YLR401C,298,298,0.07718120805369127,1.4235107643436415
YLR210W,263,1339,0.07692307692307693,1.4187498587772749
YML111W,315,1379,0.07686729514140682,1.4177210336440065
YIR008C,300,300,0.07666666666666666,1.4140206925813505
YGR224W,300,300,0.07666666666666666,1.4140206925813505
YER111C,287,287,0.07665505226480836,1.4138064794783993
YER064C,1,1110,0.07657657657657657,1.4123590936476473
YKR098C,8,1124,0.07651245551601424,1.4111764609546205
YGR273C,11,1111,0.07650765076507651,1.4110878433383338
YMR295C,11,1111,0.07650765076507651,1.4110878433383338
YFL031W,314,314,0.07643312101910828,1.409713235472961
YMR224C,288,288,0.0763888888888889,1.4088974292024328
YML008C,288,288,0.0763888888888889,1.4088974292024328
YOR070C,275,275,0.07636363636363637,1.4084316779861674
YOR123C,275,275,0.07636363636363637,1.4084316779861674
YPL158C,262,262,0.07633587786259542,1.4079197071835552
YIL156W,11,1127,0.07630878438331855,1.4074200018748833
YLR168C,10,1062,0.07627118644067797,1.406726554889332
YGL043W,302,302,0.076158940397351,1.404656317133792
YGR027C,298,1316,0.07598784194528875,1.4015006203726879
YPR141C,290,290,0.07586206896551724,1.3991808952079332
YBL089W,297,1399,0.07576840600428877,1.397453399138731
YJR045C,304,304,0.0756578947368421,1.3954151571526485
YBR254C,291,291,0.07560137457044673,1.394372713437459
YDL106C,293,293,0.07508532423208192,1.3848548109566574
YDR185C,10,1062,0.0743879472693032,1.3719925658797187
YGR085C,296,296,0.07432432432432433,1.3708191203050697
YKR053C,310,1362,0.07415565345080763,1.367708197191308
YKR011C,298,298,0.0738255033557047,1.3616189919808745
YPL076W,271,271,0.07380073800738007,1.3611622261331788
YDR128W,271,271,0.07380073800738007,1.3611622261331788
YDR101C,285,285,0.07368421052631578,1.3590130226182315
YJL134W,293,1345,0.07360594795539034,1.3575695674694073
YLL004W,286,286,0.07342657342657342,1.3542612288328533
YBR118W,286,286,0.07342657342657342,1.3542612288328533
YLR114C,287,287,0.07317073170731707,1.3495425485930175
YPL163C,11,1068,0.07303370786516854,1.3470153153559519
YOR247W,11,1068,0.07303370786516854,1.3470153153559519
YKL105C,11,1082,0.07301293900184842,1.346632259671221
YMR312W,288,288,0.07291666666666667,1.3448566369659585
YGR113W,302,302,0.0728476821192053,1.3435843033453663
YER095W,275,275,0.07272727272727272,1.341363502843969
YER150W,12,1039,0.07218479307025986,1.331358144665874
YHL023C,305,305,0.07213114754098361,1.3303687200337726
YLL040C,292,292,0.07191780821917808,1.3264339433088905
YHR203C,293,293,0.07167235494880546,1.321906865004082
YDR334W,293,293,0.07167235494880546,1.321906865004082
YBR147W,283,1326,0.07164404223227752,1.321384672390599
YGL013C,11,1035,0.07149758454106281,1.3186834436171386
YBL005W,12,1036,0.07142857142857142,1.3174105831503267
YPR108W,266,266,0.07142857142857142,1.3174105831503267
YJL085W,282,282,0.07092198581560284,1.3080672456811755
YBR162C,268,268,0.0708955223880597,1.3075791608880107
YKL026C,9,1131,0.07073386383731212,1.3045975712894482
YGR238C,11,1090,0.07064220183486239,1.302906980400048
YLR262C,270,270,0.07037037037037037,1.2978933893258775
YOR069W,289,1340,0.07014925373134329,1.2938151697207687
YKR078W,8,1059,0.06987724268177525,1.288798266424682
YDR389W,301,301,0.06976744186046512,1.286773127728226
YHR158C,300,1379,0.06961566352429296,1.2839737663191
YOL024W,10,1108,0.06949458483754513,1.2817406215126825
YMR263W,289,289,0.06920415224913495,1.2763839559933963
YOR171C,289,289,0.06920415224913495,1.2763839559933963
YNL144C,12,1087,0.06899724011039558,1.2725677206143908
YER178W,305,305,0.06885245901639345,1.269897414577692
YER089C,12,1110,0.06846846846846846,1.2628151896143671
YFR017C,12,1110,0.06846846846846846,1.2628151896143671
YOR233W,10,1067,0.06841611996251172,1.2618496869537337
YDR033W,11,1025,0.06829268292682927,1.259573045353483
YDR122W,10,1011,0.06824925816023739,1.2587721298943773
YBR054W,12,1026,0.0682261208576998,1.2583453913131775
YHR131C,11,1086,0.06813996316758748,1.2567563205743448
YLL043W,323,323,0.06811145510835913,1.2562305251092898
YOR266W,279,279,0.06810035842293907,1.256025860637946
YKR072C,294,294,0.06802721088435375,1.2546767458574541
YML032C,280,280,0.06785714285714285,1.2515400539928103
YPL250C,11,1077,0.06778087279480037,1.250133348170505
YPL249C,11,1092,0.06776556776556776,1.2498510660656945
YDR077W,288,1315,0.06768060836501902,1.2482840962778001
YML082W,1,1079,0.06765523632993513,1.247816140852302
YLR072W,11,1096,0.06751824817518248,1.2452895658245788
YLR284C,10,1037,0.06750241080038573,1.244997465272247
YOR180C,10,1037,0.06750241080038573,1.244997465272247
YPL141C,11,1068,0.06741573033707865,1.2433987526362633
YLR096W,11,1012,0.06719367588932806,1.2393032363232321
YKR092C,283,283,0.06713780918727916,1.238272844939883
YOL018C,283,283,0.06713780918727916,1.238272844939883
YJR130C,11,1089,0.06703397612488522,1.2363577740859817
YMR285C,11,1077,0.06685236768802229,1.233008233812005
YMR192W,11,1092,0.06684981684981685,1.2329611867945365
YBL056W,12,1110,0.06666666666666667,1.2295832109403049
YFL042C,12,1097,0.06654512306289881,1.2273414913214529
YFL029C,301,301,0.0664451827242525,1.225498216884025
YHR003C,297,1356,0.06637168141592921,1.224142577263578
YDR238C,287,287,0.06620209059233449,1.221014686822254
YLR164W,10,1058,0.0661625708884688,1.220285795356635
YOR172W,10,1090,0.06605504587155964,1.2183026310234215
YBL097W,303,303,0.066006600660066,1.217409119742876
YLR087C,288,288,0.06597222222222222,1.21677505249301
